职位,学历,经验,公司,"城市,",区域,商圈,技能列表,福利列表
数字后端设计工程师,本科,3-5年,青岛视曼科技有限公司,青岛,崂山区,松岭路,"['有数字后端工程师经验', '3-5年数字后端工程师经验', '1-3年数字后端工程师经验', '7nm以下', '16nm-7nm', '45nm-22nm', '55nm以上', '低功耗设计经验', 'SoC', 'Python', 'Shell']","['五险一金', '年终奖', '加班补助', '节日福利', '零食下午茶', '定期体检']"
上位机软件开发工程师,本科,3-5年,青岛德丰电子,青岛,,,"['C++', 'Python']","['交通补助', '补充医疗保险', '定期体检', '五险一金', '年终奖', '全勤奖', '零食下午茶', '通讯补贴', '带薪年假', '防疫用品', '节日福利', '员工旅游']"
测试工程师,本科,在校/应届,青岛鼎信,青岛,城阳区,棘洪滩,"['功能测试', '性能测试', '自动化测试', '嵌入式测试', 'Python', 'C++', '计算机相关专业', '通信相关专业', '自动化测试经验', '掌握软件测试理论和流程', '测试工作经验']","['高温补贴', '年终奖', '五险一金', '有无线网', '定期体检', '通讯补贴', '带薪年假', '免费宿舍', '餐补', '生日福利', '团建聚餐']"
linux嵌入式软件工程师,本科,5-10年,海汇德电气,青岛,崂山区,东韩,"['C++', 'C', '通信相关专业', '嵌入式/单片机开发经验', 'linux', 'Rt-thread', '计算机相关专业', 'freeRtos', 'Python']","['加班补助', '住房补贴', '定期体检', '年终奖', '五险一金', '股票期权', '包吃', '带薪年假', '节日福利']"
QT C++开发架构师,本科,5-10年,途度网络,青岛,市北区,市北家乐福,"['C++', 'QT', 'MySQL', '架构设计经验', '图形开发经验', '微服务经验', '可兼职']","['五险一金', '年终奖', '餐补', '包吃', '节日福利', '零食下午茶']"
软件开发工程师,本科,5-10年,澜澈生物,青岛,黄岛区,珠山,"['C++', 'QT', 'MFC', 'Python']","['节日福利', '带薪年假', '加班补助', '底薪加提成', '绩效奖金']"
python开发,学历不限,3-5年,北京湾流畅游科技公司,沈阳,沈河区,中街,"['Golang', 'Java', 'C++', 'Scrapy', '团队管理经验', 'C', '分布式经验', 'Redis', 'Numpy', 'HBase', '微服务经验', 'Django', 'MySQL', 'Tornado', 'MongoDB', '架构设计经验', 'Oracle', 'Linux开发/部署经验', 'Python', 'Flask']",[]
Python,本科,5-10年,思拓力测绘科技有...,沈阳,大东区,中街,"['Python', 'PyTorch']","['带薪年假', '底薪加提成']"
python爬虫工程师,本科,3-5年,北京预到职涯科技发展,沈阳,大东区,中街,"['python', 'selenium', 'scrapy', '八爪鱼', '影刀', '反爬', 'JS逆向']","['五险', '团建聚餐', '带薪年假']"
高级软件开发工程师JAVA/C/Python--,大专,3-5年,睿亭信息咨询,沈阳,浑南区,白塔,"['Java', 'C', 'C++', 'Python', 'C#', '不接受居家办公', '日语']","['生日福利', '加班补助', '保底工资', '绩效奖金', '年终奖']"
Python,本科,1-3年,跃境未来科技,沈阳,浑南区,白塔,"['Python', 'Scrapy', 'Selenium', 'MySQL', 'MongoDB', '爬虫经验']","['生日福利', '节日福利', '带薪年假', '员工旅游', '零食下午茶', '团建聚餐']"
c++少儿编程老师,大专,经验不限,酷码星球少儿编程,沈阳,沈河区,文化路,"['教师', '全职']","['发展空间', '全勤奖', '五险一金', '零食下午茶', '通讯补贴', '节日福利', '员工旅游', '团建', '五险']"
python（AI方向）,本科,3-5年,麟龙科技股份,沈阳,浑南区,白塔,"['机器学习经验', '量化交易开发经验', 'Python']","['节日福利', '带薪年假', '免费班车', '员工旅游', '底薪加提成', '定期体检', '绩效奖金', '五险一金', '保底工资']"
图书编辑实习生,本科,,沈阳领郡云科技,沈阳,和平区,北市,"['图书', '策划编辑', '网站', '科技类', '网文', '财经类']","['包住', '住房补贴', '节日福利', '全勤奖', '交通补助', '节假日加班费', '绩效奖金', '加班补助', '五险一金', '年终奖', '底薪加提成', '有无线网', '带薪年假', '综合奖', '团建聚餐', '工龄奖', '员工旅游', '弹性工作', '保底工资']"
python开发工程师,本科,3-5年,希赫科技,沈阳,大东区,中街,"['Golang', 'Java', 'Django', 'MySQL', 'PHP', 'Redis', 'Python', 'Flask']","['交通补助', '零食下午茶', '年终奖', '五险一金', '定期体检', '通讯补贴', '员工旅游', '节日福利', '加班补助']"
Python（人工智能方向）,大专,1-3年,成沃科技,沈阳,铁西区,北二路,"['Python', 'PyTorch', 'MySQL']","['零食下午茶', '年终奖', '餐补', '通讯补贴', '加班补助', '五险', '节日福利', '交通补助']"
数据仓库实习生（英文流利可出差）,本科,在校/应届,环球智链,沈阳,沈河区,北站,"['要求有数仓开发经验', '接受无实时数仓经验', 'SQL', 'Shell', 'Hive', 'Oracle', 'ETL开发经验', '计算机相关专业', '非外包类']","['加班补助', '意外险', '生日福利', '保底工资', '工龄奖', '年终奖', '有无线网', '五险一金', '带薪年假', '团建聚餐', '交通补助', '节日福利']"
vue php python AI C java uni-app,本科,3-5年,狄斯塔,沈阳,铁西区,卫工,"['PHP', 'TensorFlow', 'Redis']",[]
数据分析架构师,大专,3-5年,联瑞能源科技有限公司,沈阳,沈河区,青年大街,"['要求数据开发/架构经验', '要求有数据架构经验', '数据仓库架构经验', '大数据引擎架构经验', '数据平台架构经验', 'Spark', 'Hive', 'Java', 'SQL', '计算机相关专业', '数据治理经验', 'Spark原理/源码', 'Hive原理/源码', 'HBase原理/源码']",[]
AI算法工程师,本科,3-5年,东软云科技,沈阳,浑南区,白塔,"['大模型算法', '深度学习', '机器学习', '强化学习', '图像算法', 'C/C++', 'Python', 'Java']","['五险一金', '补充医疗保险', '带薪年假', '节日福利', '定期体检']"
python量化系统研发工程师（技术岗）,本科,5-10年,燊叠资本,沈阳,沈河区,风雨坛,"['Python', 'Numpy', 'Pandas', 'MySQL', '量化交易开发经验']","['定期体检', '绩效奖金', '员工旅游', '节日福利', '带薪年假', '减免管理费', '五险', '周末双休']"
python,学历不限,经验不限,沈阳市弹指一挥间...,沈阳,和平区,滨河,"['Python', '量化交易开发经验']",[]
技术总监 AI产品方向 高薪诚聘 周末双休,本科,3-5年,沈阳中天智星科技,沈阳,浑南区,桃仙,"['架构师', 'Python']",['底薪加提成']
初级python开发工程师,学历不限,经验不限,路遥知仿,沈阳,沈北新区,黄河,"['Python', 'Numpy', 'Pandas']","['绩效奖金', '五险一金']"
高级python工程师,学历不限,经验不限,辽宁国诺,沈阳,皇姑区,北行,['Python'],['五险一金']
Python,学历不限,1-3年,光音网视,沈阳,和平区,文体西路,"['系统架构', '爬虫工程师']",[]
python爬虫工程师,学历不限,5-10年,辽宁中科新柳科技,沈阳,大东区,中街,['python爬虫工程师'],"['节日福利', '零食下午茶', '全勤奖', '加班补助', '餐补', '意外险', '底薪加提成', '保底工资', '绩效奖金', '补充医疗保险', '通讯补贴', '生日福利', '夜班补助', '包吃', '五险一金', '包住', '定期体检', '高温补贴', '团建聚餐', '年终奖']"
Python,大专,1-3年,松柏网络科技,沈阳,铁西区,铁西广场,"['运维开发经验', 'Python']","['年终奖', '全勤奖', '节日福利', '带薪年假', '五险一金', '员工旅游', '补充医疗保险', '零食下午茶']"
python后端工程师,本科,3-5年,中电通途,沈阳,和平区,太原街,['接受无数字后端工程师经验'],"['五险一金', '通讯补贴', '年终奖', '餐补', '带薪年假', '生日福利', '交通补助', '节日福利']"
Python,学历不限,3-5年,沈阳鸿蒙云科技,沈阳,大东区,中街,"['PyTorch', 'MySQL', '运维开发经验', 'Redis', '云计算经验', 'MongoDB', '架构设计经验', 'Oracle', 'Python']",[]
python,本科,3-5年,沈阳叩丁狼信息科...,沈阳,沈北新区,正良,['Python'],"['交通补助', '通讯补贴', '定期体检', '五险一金', '节日福利', '带薪年假', '员工旅游', '加班补助', '年终奖']"
python开发工程师,本科,3-5年,葡萄聚联,沈阳,沈河区,文化路,"['Python', 'Django', 'Flask', 'MySQL', '团队管理经验', '爬虫经验', '机器学习经验']","['五险一金', '医疗行业培训', '阿里杭州培训', '生日福利', '带薪年假', '年终奖', '绩效奖金', '节日福利', '团建聚餐']"
对日软件开发工程师（C//java/phthon等),大专,3-5年,大连伊尔诺,沈阳,和平区,文化路,"['C#', 'Java', 'C++', '不接受居家办公', '日语N2', 'MySQL', 'Spring', '区块链经验', 'Python']","['年终奖', '节假日加班费', '生日福利', '员工旅游', '加班补助', '定期体检', '工龄奖', '意外险', '带薪年假', '团建聚餐', '零食下午茶', '五险一金', '节日福利', '补充医疗保险']"
maya绑定师,大专,3-5年,沈阳灵感引线文化传播,沈阳,浑南区,白塔,"['MAYA', 'UE4', '5年以上动画设计经验', '3D动画', '动漫', '游戏', '甲方公司', '五险', '周末双休', '现场办公']","['年终奖', '五险一金', '绩效奖金']"
Python,本科,3-5年,北京增涨科技有限公司,沈阳,和平区,西塔,"['Nginx', 'Python']",[]
机械臂算法工程师,本科,3-5年,希威智能科技有限公司,沈阳,于洪区,黄河,"['强化学习', '规控算法', 'C/C++', 'Python', 'MATLAB', '算法工程化经验', '发表算法相关优秀论文', '机械臂', '阻抗', '运动控制']",[]
Python机器学习工程师（沈阳，校招）,本科,在校/应届,安芯网盾,沈阳,沈河区,一经,"['深度学习', '数据挖掘', '风控算法', '模型加速/性能优化', 'Python', 'SQL', '大数据处理工具(Spark/Hadoop/Hive)', '参加算法相关竞赛/获奖', '算法工程化经验']","['股票期权', '节日福利', '包吃', '通讯补贴', '生日福利', '员工旅游', '带薪年假', '定期体检', '团建聚餐', '年终奖', '零食下午茶', '补充医疗保险', '五险一金']"
python算法工程师,本科,3-5年,沈阳美行科技,沈阳,浑南区,桃仙,"['Python', 'MATLAB', 'Hadoop/Hive/Spark', '计算机相关专业', '机器学习算法/工程化经验', '深度学习经验']","['免费班车', '定期体检', '年终奖', '员工旅游', '带薪年假', '餐补', '股票期权', '五险一金', '节日福利', '交通补助', '加班补助']"
python老师,本科,1-3年,沈阳市大东区领冠...,沈阳,大东区,东站,['Python'],[]
Python,学历不限,经验不限,北京筑梦园,沈阳,浑南区,白塔,"['微服务经验', 'Django', 'PostgreSQL', '运维开发经验', 'Redis', 'MongoDB', '架构设计经验', 'Python']","['节假日加班费', '保底工资', '企业年金', '补充医疗保险', '工龄奖', '年终奖', '绩效奖金', '法定节假日三薪', '底薪加提成', '加班补助', '夜班补助', '五险一金', '意外险', '定期体检']"
金融量化编程师 Python Pine,学历不限,经验不限,福州鼓楼瑞宽信息...,沈阳,浑南区,白塔,"['Python', 'Java', 'C++', 'C', 'Pine', '麦语言']",[]
单片机软硬件工程师,本科,3-5年,沈阳霍尔浦无人机科技,沈阳,浑南区,白塔,[],[]
