职位,学历,经验,技能列表,薪资,公司,公司人数,"城市,",区域
软件开发python,本科,经验不限,"['Python', 'Java', 'C++', 'C', 'C#', 'Django', 'Flask', 'Tornado', 'Scrapy', 'Numpy', 'MySQL', 'Redis', 'Oracle', 'MongoDB', 'HBase', '运维开发经验', '机器学习经验', '云计算经验', 'Linux开发/部署经验', '算法数据结构CC++']",20-40K·14薪,南京某大型互联网公司,10000人以上,南京,
中高级python开发工程师,本科,3-5年,"['Python', 'Golang', 'PHP', 'Django', 'MySQL', 'Hadoop', '爬虫经验']",8-12K,智火,20-99人,南京,雨花台区
python软件开发,本科,经验不限,['Python'],8-10K·13薪,南京从一医药科技...,100-499人,南京,雨花台区
Java开发（了解Python）,本科,1-3年,"['Java', 'MySQL', 'Spring', 'Python']",11-12K,迈思信息,1000-9999人,南京,雨花台区
python开发工程师,本科,3-5年,"['Django', 'Oracle', 'Python']",13-15K,越亮传奇,500-999人,南京,建邺区
python爬虫工程师,本科,1-3年,['java'],15-30K,的卢技术,100-499人,南京,栖霞区
Java/C/C++/Python/前端/测试（接受应届）,本科,经验不限,"['Python', 'C++', 'Java', 'C', 'Golang', '微服务经验']",15-30K·14薪,华为技术公司南研所,10000人以上,南京,雨花台区
Python,本科,1-3年,"['Django', 'MongoDB', 'Python']",8-13K,iWudao吾道科技,20-99人,南京,江宁区
python爬虫工程师,本科,,"['爬虫', '爬虫经验', '接受实习/在校生投递', '数据分析', 'MySQL', 'Python', '数据清洗']",150-200元/天,南京微小宝,20-99人,南京,
Python开发工程师,本科,3-5年,"['MySQL', 'Redis', 'Python']",13-15K,卓顿科技,20-99人,南京,江宁区
Python/JAVA,学历不限,1-3年,"['Python', 'Java', 'Flask', 'Django', 'Kafka', 'MySQL', 'PostgreSQL']",8-13K·15薪,罗斯蒙德,20-99人,南京,浦口区
python开发工程师,本科,1-3年,"['后端', 'Python', '计算机相关专业', '数学/统计相关专业']",10-14K,文泽智远,20-99人,南京,浦口区
python全栈工程师,学历不限,经验不限,"['Python', 'Django', 'MySQL']",3000-4000元/月,麦斯,0-20人,南京,江宁区
python后端,本科,,"['C++', 'Python', 'Django', 'Flask', 'MySQL', 'Redis']",100-200元/天,风语智能,0-20人,南京,栖霞区
软件初级开发工程师(python）,本科,1-3年,"['C++', 'C', '工业控制行业', 'MySQL', 'Redis', 'Linux开发/部署经验', 'Numpy', 'Python']",6-8K,苏州益发特科技有...,100-499人,南京,玄武区
python,本科,3-5年,"['Python', 'Pandas', 'Numpy', 'Django', 'MySQL', 'PostgreSQL']",20-25K,某中型保险上市公司,1000-9999人,南京,
python,本科,5-10年,"['MySQL', '后端开发', 'Python', 'Flask', 'TensorFlow']",13-25K,中奥智能工业研究院,20-99人,南京,浦口区
Python开发实习生,本科,,"['Django', 'Pandas', 'MySQL', 'Numpy', 'Python']",100-110元/天,海南惊韬科技投资集团,0-20人,南京,鼓楼区
python开发工程师,本科,1-3年,"['机器学习/算法工程', '后端', 'Python', '计算机相关专业', '机器学习工程经验']",12-24K,家康众智,20-99人,南京,江宁区
Python,本科,经验不限,"['Python', 'Java', 'Docker', 'PyTorch', 'MySQL', 'Spark']",14-28K·14薪,华为,10000人以上,南京,雨花台区
python高级开发工程师,本科,经验不限,['Python'],15-30K·16薪,某大型人力资源服务公司,1000-9999人,南京,
python开发工程师,本科,3-5年,"['Django', 'PostgreSQL', 'MySQL', 'Redis', 'Python', 'Flask']",10-15K,安来诺,20-99人,南京,雨花台区
校区合伙人python,大专,1-3年,['Python'],7-12K,魔放,0-20人,南京,江宁区
Python开发工程师,本科,3-5年,['Python'],10-13K·13薪,苏宁IT,10000人以上,南京,玄武区
急招Python开发 南京双休！,本科,3-5年,"['MySQL', '人工智能', 'Numpy', 'Python']",12-15K,菲克斯能源科技,100-499人,南京,江宁区
python后端开发实习生,硕士,,['Python'],100-200元/天,南京天洑软件有限公司,100-499人,南京,江宁区
Python,本科,经验不限,"['后端', 'Python']",50-100元/时,南京扬宁科技,20-99人,南京,鼓楼区
python开发,大专,经验不限,"['Scrapy', '团队管理经验', 'Django', 'MySQL', '运维开发经验', '架构设计经验', 'Oracle', 'Python', 'Flask', 'HBase']",6-10K,德塔金,20-99人,南京,建邺区
Python,本科,经验不限,"['Python', 'Java', 'Go', 'C++', 'PHP', '架构师']",20-30K,北京字节跳动,10000人以上,南京,鼓楼区
Python图像开发工程师,本科,经验不限,"['YOLO', 'Python']",6-11K,畅淼,20-99人,南京,江宁区
Python,本科,3-5年,"['Python', 'Java', 'Django', 'MySQL', '机器学习经验']",8-10K,南京非线,0-20人,南京,浦口区
Python开发,大专,1-3年,['中级软件工程师'],7-12K,南京鸿利,0-20人,南京,建邺区
python全栈开发工程师,本科,1-3年,"['Django', 'MySQL', 'MongoDB', 'Python']",9-13K,新瑞途,100-499人,南京,鼓楼区
python工程师,大专,1-3年,"['后端', 'Python', 'Django', '计算机相关专业']",7-11K,江苏中存,0-20人,南京,栖霞区
python开发工程师,本科,1-3年,"['Python', 'Golang', 'Django', 'Kafka', 'Selenium', 'Nginx', 'MySQL', 'HBase', 'Oracle', 'Hadoop', 'Hive']",15-28K,纳泽科技,20-99人,南京,雨花台区
后端开发工程师（python+Java）(J16126),本科,5-10年,"['Python', 'Java', 'Golang', 'C', 'Django', 'Nginx', 'MySQL', 'Oracle', 'PostgreSQL', '爬虫经验', '机器学习经验', '云计算经验', 'AI大模型', '知识工程', '知识图谱', 'RAG系统', '智能体开发']",15-20K,浩鲸科技,10000人以上,南京,江宁区
python开发+Java,大专,1-3年,"['Python', 'Java', 'Elasticsearch', 'MySQL', 'Redis', 'PostgreSQL']",6-11K,墨初,0-20人,南京,建邺区
Python,大专,1-3年,"['数据结构', 'Unix', 'Linux', 'Django', 'PostgreSQL', 'SQL', '软件工程师', 'Python']",10-11K,数创信息科技,0-20人,南京,江宁区
python开发工程师,本科,3-5年,"['Java', 'C++', 'Scrapy', 'K8S', 'Redis', '运维开发经验', 'Tornado', 'MongoDB', '架构设计经验', 'Oracle', 'Linux开发/部署经验', 'Python', 'Flask']",12-24K,量界数据,20-99人,南京,江宁区
python开发实习生,本科,,['Python'],100-150元/天,焦点教育科技有限公司,100-499人,南京,浦口区
Python后端开发工程师,本科,1-3年,"['Python', 'HTML', '后端开发', '服务器配置', 'MySQL', '全栈开发', '多线程', 'Flask']",8-12K,诚擎科技,0-20人,南京,栖霞区
Python开发工程师（AI方向）,本科,3-5年,"['Python', 'Django', 'Flask', 'PyTorch', 'MySQL', 'Redis', '分布式经验', '微服务经验']",15-30K,明思新科(南京)...,0-20人,南京,浦口区
python测试工程师,本科,1-3年,"['C++', 'Linux开发/部署经验', 'Python']",6-9K·13薪,南京德软,20-99人,南京,江宁区
Python开发工程师,本科,3-5年,"['机器学习经验', 'Python']",11-19K,新大陆软件,1000-9999人,南京,建邺区
Python,大专,1-3年,"['Python', '后端开发', 'Python工程师', 'Python算法工程师', '软件工程师', 'ERP', 'odoo']",12-20K·13薪,圣安合,0-20人,南京,江宁区
Python,本科,3-5年,"['爬虫经验', 'Docker', 'MySQL', '运维开发经验', 'PHP', '云计算经验', 'Python']",6-11K,可见未来教育科技,0-20人,南京,鼓楼区
Python开发实习生,硕士,,"['PyTorch', 'Docker', 'PostgreSQL', '机器学习经验', '接受无前端经验/技能', 'Redis', 'Linux开发/部署经验', 'Python', 'Flask']",200-230元/天,智慧用能低碳研究院,20-99人,南京,江宁区
高级Python软件开发工程师,本科,3-5年,"['Python', 'Docker', 'Numpy', 'Pandas', 'MongoDB', 'PostgreSQL', '机器学习经验', '爬虫经验']",12-16K,数溪科技,20-99人,南京,雨花台区
软件开发高级工程师（Python）,本科,3-5年,"['Python', 'Django', 'MySQL', 'PostgreSQL', 'Linux开发/部署经验', '架构设计经验']",22-35K·14薪,中安智能,100-499人,南京,江宁区
Python爬虫-南京,本科,3-5年,['js逆向'],12-24K,易安航空,100-499人,南京,鼓楼区
Python,大专,1-3年,['Python'],8-15K,南京道朋,100-499人,南京,雨花台区
