职位,学历,经验,技能列表,薪资,公司,公司人数,"城市,",区域
程序员,本科,在校/应届,"['Django', 'MySQL', '机器学习经验', '其他', '量化交易开发经验', 'Python']",6-11K,润桥智能,0-20人,扬州,邗江区
兼职少儿编程老师,本科,1-3年,"['scratch', 'Python']",350-400元/天,仪征绿旗编程,0-20人,扬州,仪征市
青少年python/scratch/C++ 编程讲师,本科,经验不限,"['Python', '培训师', 'C语言', '全职兼职均可', '线下授课', '集体授课', '汇编语言']",5-10K,少码王,20-99人,扬州,邗江区
资深php开发工程师,本科,3-5年,"['PHP', 'MySQL/Redis/MongoDB', 'Python', 'PHP开发经验', '大数据项目开发经验', '架构设计经验', 'php', 'php程序员']",7-12K,诚阳集团,20-99人,扬州,邗江区
（华为）扬州软件开发/测试工程师 RMB多多,本科,经验不限,"['Python', '软件工程师', 'C', 'C++', 'JAVA', 'go']",15-30K·16薪,华为,10000人以上,扬州,
双休编程老师（可兼职）,本科,经验不限,"['电子信息', '人工智能', '计算机']",3-8K,扬州展创教育,100-499人,扬州,江都区
AI项目开发工程师,本科,1-3年,"['Python', 'Docker', 'Kubernetes', 'MySQL', 'MongoDB', '分布式经验', '微服务经验', '架构设计经验', '机器学习经验']",10-15K,江苏强基云计算科技,20-99人,扬州,邗江区
兼职编程老师,本科,经验不限,"['人工智能', '大数据', '计算机']",100-150元/时,龙芯科技培训,100-499人,扬州,邗江区
前端开发,大专,3-5年,[],8-10K·13薪,大华运营,10000人以上,扬州,邗江区
自动驾驶深度学习工程师,硕士,1-3年,"['深度学习算法', 'Python', 'C++', '机器学习算法', '视觉图像算法', 'CNN', 'TensorFlow', 'Caffe']",12-20K,瑞控汽车电子,20-99人,扬州,邗江区
人工智能算法工程师,硕士,1年以内,[],15-25K,某中型航空航天制造公司,100-499人,扬州,
软件应用工程师,大专,1-3年,"['功能测试', '性能测试', 'C++', '软件开发经验']",6-8K,江苏钮玮动力科技,100-499人,扬州,高邮市
信息技术部经理,大专,5-10年,['互联网/AI'],25-35K,某中型电子商务公司,100-499人,扬州,
ERP二次开发工程师,本科,1-3年,"['C#', 'Odoo', 'C#开发经验', '金蝶', '.NET开发经验', 'Python', '云星空']",10-12K,优可优爱,100-499人,扬州,邗江区
大模型算法工程师,本科,3-5年,"['大模型', '建模']",30-35K,工视,20-99人,扬州,邗江区
钧骋招聘切割工,大专,3-5年,['3-5年经验'],6-9K,钧骋,100-499人,扬州,
机器人教师,大专,1-3年,"['线下教育', '坐班', '小班教学（3-25人）', '学前儿童/小学生', '幼儿教育工作经验', '普通话发音标准', '教育学专业背景', '玩教具制作', '理工科教育背景', '全职', '接受实习/在校生投递']",5-10K,扬州雄孩子机器人,20-99人,扬州,邗江区
金融量化工程师,本科,3-5年,"['Python', 'Java', 'Tornado', 'Pandas', 'PyTorch', 'MySQL', 'Oracle', '量化交易开发经验']",15-20K·16薪,扬州启达电子商务,0-20人,扬州,邗江区
药理毒理经理/总监,博士,3-5年,[],30-60K,科霸生物,20-99人,扬州,
人工智能算法工程师,硕士,在校/应届,"['C/C++', '图像算法', '深度学习', '大模型算法', '自然语言处理算法', '人工智能', '强化学习', '其他', '数据挖掘', '推荐算法', '模型加速/性能优化', 'Python']",20-21K,某大型铁路公司,100-499人,扬州,
数据分析,本科,3-5年,[],7-10K·14薪,圣都家居装饰,1000-9999人,扬州,邗江区
运维专员,大专,1-3年,['Java'],7-11K,扬州极链,20-99人,扬州,邗江区
AI算法工程师,硕士,3-5年,"['C/C++', '机器学习', '运筹优化算法', '图像算法', '深度学习', '大模型算法', '强化学习', 'Python']",18-30K,苏奥传感,500-999人,扬州,邗江区
信息技术部经济,大专,5-10年,"['Python', '数学/统计相关专业', '计算机相关专业', '电商/零售行业数据相关经验']",20-40K,某中型电子商务公司（专注母婴与跨境保健品）,100-499人,扬州,
机器人授课教师,大专,3-5年,"['教育学专业背景', '全职兼职均可', '坐班', '中学生', '熟练掌握计算机语言', '小班教学（3-25人）', '线下教育', '不坐班', '学前儿童/小学生', '幼儿教育工作经验']",5-9K,扬州凤川人工智能科技,500-999人,扬州,江都区
JAVA开发组长,本科,5-10年,"['Java', '后端开发', '需求分析']",8-13K·13薪,明辰科技,20-99人,扬州,邗江区
【Remote Work】Java Backend Developer,学历不限,3-5年,['Java'],11-20K·13薪,奥睿星火,20-99人,扬州,广陵区
算法工程师（CV/机器学习）,本科,3-5年,"['深度学习算法', '视觉图像算法', '自然语言处理', '人脸识别']",14-28K,广智微芯,20-99人,扬州,江都区
测试工程师,本科,3-5年,['自动化测试'],8-12K·14薪,大唐存储,100-499人,扬州,邗江区
初级测试工程师（扬州）,大专,1-3年,"['功能测试', '自动化测试', 'MySQL', 'JMeter', 'Postman']",5-7K,友声科技,500-999人,扬州,广陵区
市场研究员,大专,1-3年,"['Python', '培训与开发', '新客户开发', 'IT服务', '职业培训', '英语', '市场管理', '总监']",10-12K,洞开,0-20人,扬州,广陵区
物业保安,学历不限,经验不限,['团队管理经验'],3-4K,泰元物业管理,0-20人,扬州,广陵区
Php开发,本科,经验不限,"['Python', 'CSS']",7-12K,江苏云展,20-99人,扬州,
实习管培生,大专,经验不限,"['接受无机械设备工程师经验', 'SolidWorks', '设备厂商（乙方）', '需要出差']",4-8K,扬州智水,0-20人,扬州,
APA算法工程师,硕士,3-5年,"['C/C++', '图像算法', '深度学习', '大模型算法', '算法工程化经验', '融合感知算法', '参加算法相关竞赛/获奖', '推荐算法', 'Python']",25-35K·13薪,明月智能科技,100-499人,扬州,邗江区
少儿编程老师,本科,经验不限,"['线下授课', '线上授课', '小学教育', '学前教育', 'python', 'scratch', 'c++', '乐高编程老师']",4-9K,合尔贝机器人科技...,100-499人,扬州,邗江区
运维工程师,大专,3-5年,[],7-8K,信畅信息,20-99人,扬州,
网络工程师,硕士,1-3年,"['接受无网络工程师经验', 'Java', 'Python', 'SQL']",10-12K,中国工业互联网研究院,100-499人,扬州,邗江区
主机运维,大专,3-5年,['RHCE'],5-7K,重庆软维科技有限公司,500-999人,扬州,
MCU软件开发工程师,本科,5-10年,"['RTOS', 'C', '通信相关专业', '嵌入式/单片机开发经验', 'ARM开发', '计算机相关专业', '汽车电子', 'Python']",12-22K·13薪,罗思韦尔,500-999人,扬州,邗江区
web前端开发工程师,本科,1-3年,"['HTML', 'CSS', 'CSS3', 'HTML5', '前端开发', '.NET', 'Web端', '小程序']",7-10K,制汇互联,20-99人,扬州,邗江区
自动化工程师,大专,5-10年,"['C#  懂工控', '工业算法']",13-18K·17薪,丰尚集团,1000-9999人,扬州,
机器人教师,大专,1-3年,"['集体授课', '线下授课']",4-7K·13薪,地平线,0-20人,扬州,广陵区
人工智能算法工程师,硕士,1-3年,"['深度学习', '机器学习', '强化学习', 'C/C++', 'Python']",20-21K,某大型铁路公司,100-499人,扬州,
智能制造高级工程师,本科,1-3年,[],20-28K,航天锂电,1000-9999人,扬州,
数据库开发工程师,本科,3-5年,[],12-20K,宝胜股份,1000-9999人,扬州,广陵区
技术岗,大专,在校/应届,['C++'],4-6K,百纳德,100-499人,扬州,
电气设计工程师,大专,5-10年,"['自动化技术', 'CAD']",18-23K,扬州市某中型专用设备公司,500-999人,扬州,
科创教师,本科,1-3年,"['机器人', '教师', '玩教具制作', '小班教学（3-25人）', 'STEAM', '线下教育', '讲义/教纲编写能力', '全职', '信息学', '坐班', '理工科教育背景', '中学生', '助教', '学前儿童/小学生']",4-8K,扬州小主人,20-99人,扬州,邗江区
电控工程师（高级）,本科,5-10年,"['自动化技术', 'CAD', 'PLC应用']",20-30K,某大型重工公司,500-999人,扬州,
数据开发,本科,3-5年,"['数据仓库', '数据开发', 'Hive', 'Hadoop', 'Spark', 'HIVE', '大数据', '数据分析']",15-30K·14薪,京东集团,10000人以上,扬州,广陵区
软件工程师（算法方向）,本科,3-5年,"['C/C++', '通信算法', 'MATLAB']",15-20K,宇安电子,100-499人,扬州,
人工智能方向博士后研究员,博士,经验不限,[],30-60K,开源网安,100-499人,扬州,高邮市
算法工程师,本科,经验不限,"['C/C++', '机器学习算法/工程化经验', '计算机相关专业', 'MATLAB', 'Python', '数学/统计相关专业']",12-24K,道尔芬智能,100-499人,扬州,
业策运营负责人,大专,经验不限,"['业务数据分析', '不接受居家办公', '业务模式/运营策略优化', '数据分析/商业分析经验', 'SQL']",10-14K·14薪,圣都装饰,100-499人,扬州,邗江区
全屋定制销售,学历不限,经验不限,['计算机/通信相关专业'],3-8K,扬州艾森活建材,20-99人,扬州,邗江区
测试工程师,本科,3-5年,"['C++', 'Shell', '测试工作经验', '自动化测试', '通信相关专业', '飞行器', '无人机', '航空航天', '计算机相关专业']",8-13K,壹扬,0-20人,扬州,
人工智能算法设计,硕士,经验不限,"['深度学习', '机器学习', '大模型算法', '强化学习', '规控算法', 'SLAM算法', 'C/C++', '算法工程化经验', '接受实习/在校生投递']",22-30K,某大型铁路公司,100-499人,扬州,
Github SME,本科,3-5年,"['Java', 'Python', 'github', 'CICD']",13-18K·13薪,中科创达,10000人以上,扬州,广陵区
AI算法工程师/专家（扬州/武汉/深圳/郑州）,本科,3-5年,"['图像算法', '大模型算法', '多模态算法', '算法工程化经验', '大语言模型', 'Python', 'fine tunning']",25-45K·17薪,某知名企业,1000-9999人,扬州,
总经理业务助理（数据分析师）,本科,1-3年,"['电商/零售行业数据相关经验', '数学/统计相关专业', '数据分析/挖掘经验', '计算机相关专业', '金融行业数据相关经验']",6-10K,森尼奥体育,20-99人,扬州,邗江区
数据分析员,本科,经验不限,['数据分析'],4-6K·14薪,万得扬州,1000-9999人,扬州,广陵区
web前端工程师,本科,3-5年,"['HTML5', 'React', 'Vue', '计算机/软件工程相关专业', '前端开发经验']",5-7K,扬州数辰网络科技,0-20人,扬州,广陵区
生信工程师,本科,经验不限,['生物信息分析'],5-8K,医联生物,20-99人,扬州,
自动化测试工程师,本科,1-3年,"['测试开发', '软件测试']",6-10K,扬州航盛,100-499人,扬州,邗江区
助理工程师(J10637),本科,1-3年,[],8-12K·14薪,扬州派能,1000-9999人,扬州,
运维工程师,大专,1-3年,"['系统运维', 'Linux', 'Python', '虚拟机技术', 'Nginx', '数据库运维', '安全运维', '服务器配置']",4-8K,中装捷顺,20-99人,扬州,邗江区
编程老师,本科,1-3年,"['培训机构', '线下教育', '坐班', '小班教学（3-25人）', '中学生', '学前儿童/小学生', '特长兴趣类', '人工智能类', '大型教育机构经验', '教育学专业背景', '乐高', '小学教育', '线下授课', '编程', '机器人']",5-10K·13薪,启智教育,20-99人,扬州,邗江区
神经网络算法工程师,本科,经验不限,"['深度学习算法', 'yolo', 'unet']",12-15K,零碳中心,100-499人,扬州,
WMS系统工程师,本科,5-10年,['WMS'],12-24K,联成开拓,20-99人,扬州,
数字应用与支持工程师,本科,3-5年,"['C/C++', '汽车', '云服务', '机械/机电设备技术支持经验', '机械/机电设备', 'Python']",13-17K·13薪,海沃机械,1000-9999人,扬州,广陵区
Demura/Gamma 算法工程师,本科,3-5年,"['图像算法', 'SLAM算法', 'C/C++', 'Python', '嵌入式开发', '算法工程化经验']",15-20K,和熠光显,1000-9999人,扬州,
FPGA工程师,硕士,1-3年,[],25-30K,北京、上海、深圳某大型半导体/芯片公司,100-499人,扬州,
电气工程师,本科,3-5年,"['C++', 'CAD', '电气工程师证']",6-9K,上海摩恩电气,100-499人,扬州,
阿里巴巴国际站,大专,1-3年,"['市场营销管理', '客户管理', '销售管理', '贸易跟单', '货代经理/主管', '海外经验', '海外']",4-6K,扬州亿辉健身器材公司,20-99人,扬州,广陵区
组件户外实证工程师,硕士,1年以内,"['光伏', '材料', '物理', '化学', '光伏研发', '电池研发', '组件研发', '户外实证']",12-16K·13薪,晶澳(扬州)太阳能,1000-9999人,扬州,
人工智能软件/系统开发工程师,硕士,1-3年,"['大模型算法', 'Python', 'Java', '大数据处理框架(Spark/Hadoop/Hive)', '优秀开源项目经历']",7-10K,江苏中兴蓝光科技...,20-99人,扬州,
成本数据分析主管,本科,3-5年,[],12-15K·14薪,中集车辆集团,1000-9999人,扬州,
7-12k开发工程师,本科,1-3年,"['金融信息化项目', '计算机/通信相关专业']",7-12K,银祥融,20-99人,扬州,邗江区
华为23届留学秋招-软件开发工程师,本科,在校/应届,"['C++', 'C语言', 'Java', 'Python', '嵌入式', '数据分析']",20-30K·16薪,华为技术有限公司,10000人以上,扬州,广陵区
幼儿高阶老师,大专,经验不限,"['学前教育', '教师资格证']",3-7K,未来宝贝,20-99人,扬州,邗江区
初级python工程师,本科,1-3年,"['Python', '爬虫经验']",6-11K,扬州幻维智能科技,0-20人,扬州,邗江区
信息技术部经理,大专,5-10年,"['企业内部IT技术支持', 'Java', 'Python', '电商']",20-30K,扬州某中型电子商务公司,100-499人,扬州,
高级图像算法工程师,本科,3-5年,"['C/C++', '机器学习', '深度学习', '目标检测', '工业/缺陷检测', '图像处理库（OpenCV等）', '目标跟踪', 'Python']",8-13K,扬州科曼德智能科技,0-20人,扬州,邗江区
java,本科,经验不限,"['Java', 'Golang', 'Python', 'Spring', 'SpringCloud', 'MyBatis', 'Redis', 'MySQL', 'SQL Server', '架构设计经验', '大数据经验', '分布式经验', 'kafka', '多线程', 'RabbitMQ']",20-25K,某人力资源服务公司,20-99人,扬州,
C++,本科,经验不限,"['培训师', 'Python', 'C语言', 'C语言培训']",4-9K,博佳乐高培训中心,20-99人,扬州,邗江区
GIS开发工程师,本科,5-10年,"['ArcGIS', 'JavaScript', 'WebGL', 'Java', 'Python', '地理信息/测绘工程相关专业']",10-15K,爬山虎科技股份,100-499人,扬州,
中级开发员(J10054),本科,1-3年,"['Java', '不接受居家办公', 'MySQL', 'SQL Server', '架构设计经验']",6-10K,乐博,100-499人,扬州,广陵区
人工智能深度学习应用开发,硕士,1-3年,"['强化学习', '多模态算法', 'Python', 'C/C++']",21-22K,某大型航空公司,100-499人,扬州,
ai算法工程师,本科,经验不限,['研究导向'],10-15K,稻源科技集团,100-499人,扬州,江都区
扬州—PHP,本科,3-5年,"['PHP', 'Python', 'MySQL/Redis/MongoDB']",10-13K,奥琦玮,500-999人,扬州,江都区
软件测试助理工程师（校招）,本科,在校/应届,"['功能测试', '性能测试', '自动化测试', 'Python', '计算机相关专业', '通信相关专业']",8-11K,扬州航盛科技,1000-9999人,扬州,
人工智能算法推荐工程师,本科,3-5年,"['Java', 'Python', 'Hadoop/Hive/Spark', 'Golang', 'R/SAS/MATLAB', '计算机相关专业', '算法工程化经验', '电商/广告算法经验']",10-15K,扬州唐梦网络科技...,20-99人,扬州,邗江区
软件开发&测试&算法,本科,经验不限,"['Java', 'C', 'C++', 'Spring', 'SpringCloud', 'MyBatis', 'MySQL', 'Redis', 'Oracle']",13-26K·14薪,华为,10000人以上,扬州,
人工智能算法设计,硕士,在校/应届,"['大模型算法', '强化学习', '机器学习', '深度学习', '图像算法', '气象算法', '规控算法', '融合感知算法', '多模态算法', 'C/C++', 'Python', '并行计算', '嵌入式开发', '大数据处理框架(Spark/Hadoop/Hive)', '算法工程化经验', '发表算法相关优秀论文', '参加算法相关竞赛/获奖', '优秀开源项目经历', '团队管理经验']",20-24K,某大型铁路公司,100-499人,扬州,
兼职编程老师,本科,经验不限,"['图像算法', '运维工程师', '人工智能', '大数据', '计算机']",3-8K,扬州展创教育,100-499人,扬州,江都区
汽车电气工程师,本科,5-10年,"['PLC', 'Codesys', '控制程序设计', '工程机械车', '特种车']",20-25K·14薪,某大型机械设备公司,1000-9999人,扬州,
兼职编程老师（周末）,本科,经验不限,"['人工智能', '大数据', '计算机']",100-150元/时,龙芯科技培训,100-499人,扬州,邗江区
高级php工程师,大专,3-5年,"['PHP', 'Python', 'Golang', 'PHP开发经验', '大数据项目开发经验', '架构设计经验']",6-11K,诚阳集团,20-99人,扬州,邗江区
前端开发工程师,学历不限,经验不限,"['CSS', '前端开发', 'Vue', 'JavaScript', 'python']",12-18K,批改网,20-99人,扬州,
编程老师,本科,1-3年,"['C/C++', 'Python', 'scratch', 'C语言', '网络爬虫技术', '小程序', '计算机软件', '人工智能']",6-9K,乾宸,500-999人,扬州,江都区
少儿编程机器人老师,大专,经验不限,['培训机构编程老师'],5-6K,扬州雄星机器人科技,0-20人,扬州,邗江区
数字IC验证工程师,本科,3-5年,"['Python', 'Verilog', 'Perl', 'IC验证', '芯片设计']",25-50K·18薪,大唐存储,100-499人,扬州,邗江区
兼职少儿编程老师（计算机专业）,大专,经验不限,"['Python', 'C#', '少儿讲师', '计算机专业']",1-2K,少码王,20-99人,扬州,邗江区
少儿编程老师,本科,1-3年,"['阳光活动', '创新', '少儿编程']",4-6K,仪征绿旗编程,0-20人,扬州,仪征市
算法工程师,本科,1-3年,['业务导向'],10-15K,扬州极链,20-99人,扬州,邗江区
软件运维,本科,1-3年,[],4-5K,乐合数科,20-99人,扬州,邗江区
技术研发岗,硕士,1-3年,"['系统运维', 'Java', 'Docker', 'MySQL/Oracle', 'Python/Shell', '通信相关专业', '计算机相关专业', '运维开发经验', '网络安全相关经验']",10-12K,中国工业互联网研究院,100-499人,扬州,邗江区
【航空】人工智能算法设计（优先校招）,硕士,经验不限,['参加算法相关竞赛/获奖'],20-26K,某大型航空公司,100-499人,扬州,
测试实习生,本科,,"['功能测试', '性能测试', '自动化测试', 'Python', 'Java', '计算机相关专业', '自动化测试经验', '测试工作经验', '掌握软件测试理论和流程', '嵌入式测试']",100-120元/天,明月智能科技,100-499人,扬州,邗江区
算法工程师,硕士,在校/应届,"['深度学习', '机器学习', '大模型算法', '自然语言处理算法', '推荐算法', 'C/C++', 'Java', 'Python', '人工智能']",10-15K·13薪,丰尚集团,1000-9999人,扬州,
扬州 中级主机运维工程师,大专,3-5年,"['计算机相关专业', 'Linux系统']",7-8K,信畅信息,20-99人,扬州,
MCU软件工程师,本科,5-10年,[],12-18K,罗思韦尔,500-999人,扬州,
机械电子工程等,大专,经验不限,"['机械结构图', 'AutoCAD', 'SolidWorks']",4-8K,扬州智水,0-20人,扬州,
软件工程师,硕士,3-5年,"['Java', 'C++', 'Scrapy', '团队管理经验', 'Django', 'MySQL', '架构设计经验', 'Linux开发/部署经验', 'Python', 'Flask']",9-12K,中工智联,0-20人,扬州,
算法开发工程师,博士,经验不限,"['C/C++', 'OpenCV', '图像处理', '研究导向', 'Python']",30-35K,某大型电子公司,100-499人,扬州,
算法工程师（软件仿真）,本科,经验不限,"['深度学习', '机器学习', '融合感知算法', '通信算法', 'C/C++', 'Python', 'MATLAB']",12-17K,宇安电子,100-499人,扬州,广陵区
软件测试工程师,本科,1-3年,"['自动化测试', '性能测试', '白盒测试', '黑盒测试', '安全测试']",6-11K,广智微芯,20-99人,扬州,江都区
数据分析师,本科,经验不限,['英语四级'],4-6K,万得扬州,1000-9999人,扬州,广陵区
高级工程师(J10704),本科,1-3年,[],15-26K·14薪,扬州派能,1000-9999人,扬州,
机器人教师,大专,,"['线下教育', '坐班', '小班教学（3-25人）', '学前儿童/小学生', '幼儿教育工作经验', '普通话发音标准', '教育学专业背景', '玩教具制作', '理工科教育背景', '全职', '接受实习/在校生投递']",80-100元/天,扬州雄孩子机器人,20-99人,扬州,邗江区
ai算法工程师,本科,3-5年,"['大模型算法', '图像生成', 'Python', 'LLM大语言模型', '视觉识别', '时序数据分析']",40-55K·17薪,某人力资源服务公司,20-99人,扬州,
产品和解决方案设计工程师/讲师,大专,经验不限,"['机器人', '人工智能', '物联网', '技术沟通']",5-8K·13薪,地平线,0-20人,扬州,广陵区
信息技术经理,大专,3-5年,"['Java', 'Python', '电商平台IT']",20-30K,扬州某中型电子商务公司,100-499人,扬州,
语音算法工程师,本科,经验不限,[],12-24K,扬州科曼德智能科技,0-20人,扬州,邗江区
C语言,本科,经验不限,"['Python', 'C语言', '培训师', 'C语言培训', '计算机软件', '线下授课']",4-9K,博佳乐高培训中心,20-99人,扬州,广陵区
GIS开发工程师,本科,5-10年,"['ArcGIS', 'Java', 'PostgreSQL', 'JavaScript', 'MySQL']",8-12K,爬山虎科技,100-499人,扬州,邗江区
中级开发员(J10071),本科,1-3年,"['大数据经验', 'C++', 'MySQL', 'Spring']",8-10K,乐博,100-499人,扬州,广陵区
嵌入式软件工程师,硕士,3-5年,"['C++', 'C']",20-25K,某大型铁路公司,100-499人,扬州,
扬州-大数据开发工程师,本科,1-3年,"['数仓建设经验', '大数据开发经验', 'Flink', 'SQL']",9-13K,奥琦玮,500-999人,扬州,江都区
大数据处理与分析工程师,本科,3-5年,"['Java', 'C++', 'Python', '大数据开发经验']",10-15K,扬州唐梦网络科技...,20-99人,扬州,邗江区
通信研发工程师,本科,经验不限,"['C语言', 'C++']",8-13K,华为技术有限公司,10000人以上,扬州,广陵区
ai算法工程师,本科,经验不限,"['Python', 'Hadoop/Hive/Spark', 'CNN/RNN/LSTM']",6-8K,稻源科技集团,100-499人,扬州,
兼职编程老师,本科,经验不限,"['软件测试', '物联网', '计算机']",3-8K,扬州展创教育,100-499人,扬州,江都区
乐高机器人编程老师,大专,1年以内,"['教育学专业背景', '大型教育机构经验', '坐班', '小班教学（3-25人）', '线下教育', '课程/课件研发', '学前儿童/小学生', '普通话发音标准', '全职', '幼儿教育工作经验']",5-8K,扬州雄星机器人科技,0-20人,扬州,邗江区
双休编程老师,本科,经验不限,"['C++', '人工智能', '计算机相关专业', '物联网', 'Python', '计算机']",3-8K,龙芯科技培训,100-499人,扬州,邗江区
模型部署与优化工程师（端侧）,本科,5-10年,"['C++', 'C', '计算机相关专业', 'Python']",18-30K,扬州航盛科技,1000-9999人,扬州,
少儿编程老师,大专,经验不限,"['Python', 'C语言', '培训师', '线下授课', '一对一授课', '全职兼职均可', '兼职']",3-8K,少码王,20-99人,扬州,邗江区
数据可视化工程师,本科,1-3年,"['MySQL', 'python', 'granfana']",8-13K,批改网,20-99人,扬州,
人工智能算法设计,硕士,经验不限,"['C/C++', 'Python']",15-25K,某大型航天制造公司,100-499人,扬州,
人工智能算法设计,硕士,经验不限,"['C/C++', 'Python', '算法工程化经验']",24-30K,某大型航空公司,100-499人,扬州,
数据分析师,本科,经验不限,"['SQL', 'Excel']",4-6K·13薪,万得扬州,1000-9999人,扬州,广陵区
gis高级开发工程师,本科,1-3年,"['ArcGIS', 'SuperMap', 'GeoServer', 'QGIS', 'MapGIS', '地理信息/测绘工程相关专业', '团队管理经验', 'WebGIS开发经验', 'JavaScript', 'OpenLayers', 'WebGL', 'Java', 'Python']",11-15K,爬山虎科技,100-499人,扬州,
人工智能博士（2025应届）,博士,在校/应届,"['深度学习', '强化学习', 'AI大模型']",25-35K·14薪,某大型铁路公司,100-499人,扬州,
IT技术经理(J10104),大专,5-10年,"['互联网/AI', '电商', '母婴']",20-30K,乐博,100-499人,扬州,广陵区
linux高级开发工程师,本科,经验不限,[],6-10K,扬州科曼德智能科技,0-20人,扬州,邗江区
（华为） 软件开发&算法&测试开发工程师,本科,经验不限,"['Java', 'C++', 'Python', 'Spring', 'MySQL', '不接受居家办公']",12-24K·16薪,华为技术有限公司,10000人以上,扬州,广陵区
数字IC验证工程师,本科,1-3年,"['IC验证', 'Verilog', '系统集成技术']",11-20K,稻源科技集团,100-499人,扬州,江都区
高级php工程师,本科,1-3年,"['Laravel/Yii/ThinkPHP', '服务端开发经验', 'PHP开发经验', 'PHP', '计算机相关专业', 'LNMP/LAMP']",10-15K,奥琦玮,500-999人,扬州,江都区
安全运维工程师,本科,3-5年,"['安全体系架构和研发', '安全运维和保障']",8-10K,扬州唐梦网络科技...,20-99人,扬州,邗江区
少儿编程老师,本科,经验不限,"['c++', 'Python', '线下']",5-8K,博佳乐高培训中心,20-99人,扬州,广陵区
编程老师,本科,经验不限,"['信息工程', 'C++', '人工智能', 'Python', '计算机']",3-8K,龙芯科技培训,100-499人,扬州,邗江区
编程老师,本科,经验不限,"['人工智能', '计算机相关专业', '物联网', '大数据']",3-8K,扬州展创教育,100-499人,扬州,江都区
运维工程师,本科,1-3年,"['搜索引擎技术', '容器技术', 'Linux', 'Redis', '自动化运维', 'Docker']",8-13K,批改网,20-99人,扬州,
产业链数据分析师,本科,经验不限,['Python'],4-8K·13薪,万得扬州,1000-9999人,扬州,广陵区
数字验证工程师,本科,经验不限,"['FPGA开发', '半导体技术', '嵌入式技术', '芯片设计', 'Perl', 'Python']",10-15K,稻源科技集团,100-499人,扬州,江都区
人工智能算法设计,硕士,经验不限,['大模型部署数据库管理'],20-25K,某大型铁路公司,100-499人,扬州,
交易平台产品经理,本科,3-5年,"['B端产品', 'C端产品', 'G端产品/政务产品', '数据产品', '用户/功能产品', '电商产品', 'AI产品', '物联网产品']",10-15K,扬州唐梦网络科技...,20-99人,扬州,邗江区
中级java开发工程师,本科,3-5年,"['Java', '不接受居家办公', 'PostgreSQL', 'SpringCloud', 'Hadoop', 'Kafka', 'Spring', '接受实习/在校生投递', 'Hive', 'Docker', '微服务经验', 'MySQL', 'MyBatis', 'Spark', '架构设计经验', 'Python']",7-10K,爬山虎科技,100-499人,扬州,
软件开发,本科,经验不限,"['C', 'Java', 'Python']",15-25K·15薪,华为技术有限公司,10000人以上,扬州,
编程老师,本科,经验不限,"['C++', '电子信息工程', '人工智能', '计算机相关专业', '物联网', 'Python']",3-7K,扬州展创教育,100-499人,扬州,江都区
交易平台架构师,本科,3-5年,"['Java', 'Python', '微服务架构', '网络爬虫技术']",10-15K,扬州唐梦网络科技...,20-99人,扬州,邗江区
人工智能算法设计岗位（接受25届应届生）,硕士,1-3年,"['机器学习', '强化学习', '规控算法', '运筹优化算法', 'C/C++', 'Python', 'MATLAB']",20-25K,某大型铁路公司,100-499人,扬州,
数字ic验证工程师,本科,经验不限,"['半导体技术', '嵌入式技术', '芯片设计']",7-12K,稻源科技集团,100-499人,扬州,江都区
IT系统开发工程师,大专,5-10年,"['Java', 'C', 'Python', 'MyBatis', 'Spring', 'MySQL', 'Spark', '区块链经验', 'ERP开发经验', 'MES开发经验', '大数据经验', '架构设计经验', '不接受居家办公']",10-15K,虎豹集团,1000-9999人,扬州,邗江区
ai工程师,本科,1-3年,"['搜索算法', '自然语言处理算法', '算法工程化经验', '强化学习', '数据挖掘', '嵌入式开发', '优秀开源项目经历', 'Python']",10-15K,北辰弘乐,0-20人,扬州,邗江区
少儿编程老师,大专,1-3年,"['少儿编程老师', 'c++讲师']",4-6K,扬州智造师信息科技,0-20人,扬州,高邮市
php开发工程师,本科,3-5年,['PHP'],10-12K,点评微生活,100-499人,扬州,江都区
安全服务工程师,本科,3-5年,"['计算机相关专业', '渗透测试经验', '攻防对抗经验']",10-15K,奇安数据,20-99人,扬州,广陵区
web前端开发工程师,本科,1-3年,"['Vue', 'JavaScript', 'Node.js', '前端开发经验']",6-10K,制汇互联(工业汇),20-99人,扬州,邗江区
APA（自动泊车辅助）算法工程师,本科,1-3年,"['C/C++', 'Python', '计算机/通信相关专业', '车辆工程相关专业', '汽车电子系统开发经验', 'ADAS开发经验', 'L2/L3智能驾驶功能开发经验', 'ROS', 'MATLAB', 'Simulink', 'PID控制算法', 'MPC控制算法']",25-35K,深圳某大型智能硬件上市公司,1000-9999人,扬州,
软件测试,大专,3-5年,"['功能测试', '性能测试', '压力测试']",4-7K,南开之星,100-499人,扬州,邗江区
金融数据管培生,本科,经验不限,"['SQL', 'Python', 'SPSS', '数据分析/挖掘经验', '金融行业数据相关经验', '数学/统计相关专业']",6-8K·14薪,万得,1000-9999人,扬州,广陵区
扬州CNC IT管培生,本科,经验不限,"['Java', 'Python', 'Spring', 'MySQL']",6-7K,东莞领益精密制造科技,10000人以上,扬州,
兼职编程老师,本科,1年以内,"['Python', '其他', 'Scrapy', 'PyTorch', 'Oracle', '团队管理经验', '架构设计经验', '机器学习经验']",60-90元/时,麦田教育,20-99人,扬州,邗江区
