职位,学历,经验,技能列表,年薪,公司,公司规模,城市,区域
传感器测试开发工程师,本科,1-3年,"['matlab', 'C++', 'python', '传感器测试', '软件测试', '测试开发']",96,创视智能,中型企业,苏州,吴中区
科学计算开发工程师,硕士,在校/应届,"['Julia', '爬虫经验', '分布式经验', '科学计算', 'Python']",240,同元软控,中大型企业,苏州,
开发岗（偏后端）,本科,3-5年,"['Java', 'C', 'C++', 'Python', 'Spring', 'MySQL']",240,某大型保险服务央企公司,超大型企业,苏州,
高级移动端算法优化工程师,本科,5-10年,"['高性能算法', '算法优化', 'CPU', 'DSP', 'GPU', 'NEON', 'C/C++', 'python']",840,北京某中型移动互联网公司,中型企业,苏州,
C++开发工程师,本科,1-3年,"['python', 'C++', 'QT', '遥感']",120,中城泰信,小型企业,苏州,苏州工业园区
大模型Agent开发工程师,本科,3-5年,"['Python', 'PyTorch', 'TensorFlow', 'Redis', '架构设计经验', 'Agent']",270,思必驰科技股份有...,中大型企业,苏州,苏州工业园区
少儿编程,本科,1-3年,"['scratch', 'python', 'c++', 'kitten', '电子信息', '计算机编程', '软件开发', '自动化']",54,高博托管,微型企业,苏州,昆山市
资深python开发工程师,本科,5-10年,"['Golang', '多模态', 'MySQL', 'dify', 'agent落地', '架构设计经验', 'Python', 'Flask']",400,同程旅行,大型企业,苏州,苏州工业园区
数据产品经理,本科,1-3年,"['数据产品', 'SQL', '数据分析', 'python', '金融']",252,智慧芽,大型企业,苏州,苏州工业园区
RPA 工程师,本科,1-3年,"['RPA', 'uipath']",201,睿能科技,小型企业,苏州,苏州工业园区
软件开发工程师,本科,3-5年,"['Python', 'C++', 'Java', '英语流利']",337,某大型智能硬件公司,超大型企业,苏州,
c++工程师,本科,5-10年,"['C++', 'Python', '架构设计经验', '嵌入式软件经验', 'C++开发经验不低于5年']",210,科境智能,微型企业,苏州,相城区
AI 算法工程师,本科,3-5年,"['python', '遥感影像', '图像算法', '深度学习', '大模型算法', '算法工程化经验', 'AI', 'GDAL', 'C/C++', '机器学习', 'OpenCV', '模型加速/性能优化', 'Python']",192,中科天启,中型企业,苏州,虎丘区
中级java开发工程师,本科,5-10年,"['Java', 'C++', '不接受居家办公', 'MySQL', 'Netty', 'Redis', 'MongoDB', 'Spring']",280,边驰技术,微型企业,苏州,相城区
大数据软件开发工程师,本科,3-5年,"['python', '后端开发', '全栈开发', 'PHP', '多线程', '微服务架构', 'Spring', 'WEB开发']",384,三一重机有限公司,超大型企业,苏州,昆山市
软件开发工程师（Python）,本科,经验不限,"['Python', 'linux', '熟悉主流网络协议']",231,华为技术有限公司,超大型企业,苏州,
机器人编程老师,本科,1-3年,"['销售经验', 'python', '集体授课', '小班教学（3-25人）', '线下教育', 'scratch', '小学教育', '线下授课', '全职', '儿童编程', '教育学专业背景', 'arduino', '理工科教育背景', '学前儿童/小学生']",84,半橙创造力空间,微型企业,苏州,苏州工业园区
软件开发工程师（14薪）,本科,1-3年,"['Java', 'C++', 'Golang', 'Python', 'SpringCloud', 'MySQL', 'Redis', '分布式经验', '云计算经验', '不接受居家办公']",315,咏鹭科技,中型企业,苏州,
声学仿真工程师,本科,在校/应届,"['声学仿真', '声学测试', 'Comsol', 'MATLAB', 'python', 'soundcheck']",247,地球山,中型企业,苏州,常熟市
智能汽车测评技术专家,博士,3-5年,"['L2/L3智能驾驶功能开发经验', 'C/C++', 'CNN/RNN/LSTM', 'python', '熟悉ISO26262标准']",300,中汽院智能网联科技,中型企业,苏州,
软件平台工程师,本科,5-10年,"['Python', 'Golang', 'Java']",337,Seyond图达通,中大型企业,苏州,相城区
图像算法调试工程师,本科,1-3年,"['C++', 'STL']",169,富鑫林光电,中型企业,苏州,
算法工程师,本科,3-5年,"['PyTorch', 'LSTM', 'Transformer', 'Python']",222,上海微恺信息技术,小型企业,苏州,
Blender 高级开发工程师   五险一金,本科,3-5年,"['Python', 'Django', 'Linux开发/部署经验']",270,昆山巨星行动电子...,中型企业,苏州,昆山市
工业物联网软件开发,大专,1-3年,"['数据开发', '计算机相关专业', 'Python']",130,库德莱兹物联科技,微型企业,苏州,苏州工业园区
高级平台开发工程师,本科,3-5年,"['Go', '分布式技术', '容器技术', '微服务架构', 'Linux', 'NoSQL']",240,迈科网络,中型企业,苏州,相城区
java开发工程师,本科,3-5年,"['Java', '不接受居家办公', 'SpringCloud', 'MySQL', 'MyBatis', 'Redis', 'Spring']",138,东华软件科技有限公司,小型企业,苏州,昆山市
软件工程师（C）,本科,1-3年,"['Python', 'Linux', '软件工程师']",130,苏州奇梦者科技,小型企业,苏州,苏州工业园区
平台开发,本科,3-5年,"['Python', 'C++', 'C']",397,昆高新芯,中型企业,苏州,昆山市
双休运维工程师,大专,1-3年,"['网络运维', '计算机相关专业']",108,海江信息科技有限公司,大型企业,南通,
Python老师,学历不限,经验不限,"['爬虫经验', '机器学习经验', 'Python']",108,南通芮星教育,小型企业,南通,崇川区
人工智能实习生,硕士,经验不限,"['机器学习', '大模型算法', '图像算法', '自然语言处理算法', '推荐算法', '搜索算法', '模型加速/性能优化', 'Python']",78,成天软件,小型企业,南通,崇川区
python,本科,3-5年,"['Python', 'Django', 'MySQL', 'Linux开发/部署经验', '分布式经验', '架构设计经验', '数据分析']",138,篆言信息科技,小型企业,南通,崇川区
python后端开发,本科,3-5年,"['Django', 'MySQL', 'Redis', '软件工程', '985/211院校', 'Python', 'Flask', '计算机']",150,星商创新,大型企业,南通,崇川区
Python,本科,10年以上,[],210,南通高新技术产业...,微型企业,南通,海门区
python老师,大专,经验不限,"['Python', 'Java', 'C++', 'Django', 'MySQL', '团队管理经验']",72,恩欣文化传媒有限公司,微型企业,南通,
C++/C#/Python程序员,本科,1-3年,"['C/C++', 'C#', 'Python']",102,福友科技,微型企业,南通,崇川区
周末双休 网络安全 人寿正编,本科,1-3年,"['安全运维和保障', '安全架构搭建经验', '渗透测试经验', '攻防对抗经验']",246,某知名互联网金融上市公司,大型企业,南通,
Python 全栈开发,本科,1-3年,[],90,江苏谷玄科技有限公司,微型企业,南通,
青少儿编程教师,本科,经验不限,"['计算机', '编程教师', '小班授课']",114,南通新东方教育咨询,大型企业,南通,
渗透测试工程师,学历不限,1-3年,"['漏洞挖掘', '代码审计', '信息安全', '内网渗透', '红队攻击', '渗透测试', 'web安全', '网络安全']",287,暗泉信息,小型企业,南通,崇川区
数据支持专员,本科,1-3年,[],114,携程集团,超大型企业,南通,崇川区
渗透测试,大专,3-5年,"['SqlMap', '通信相关专业', '漏洞挖掘', '渗透测试经验', '代码审计', '渗透测试', '攻防对抗经验', 'Nmap', '逆向分析', 'BurpSuite', '内网渗透']",175,濠云网络,小型企业,南通,崇川区
算法工程师,硕士,在校/应届,"['机器学习', '运筹优化算法', '深度学习', 'Python']",266,元始智能科技,小型企业,南通,崇川区
Python开发工程师,本科,1-3年,"['运维开发', 'Python']",108,江苏浪新,小型企业,南通,崇川区
数字化工程师,本科,3-5年,"['Java', 'Python', '爬虫经验', '有后端经验']",120,中天宽带,大型企业,南通,
计算机老师,大专,1-3年,"['计算机', 'IT']",66,胡椒丁科技,小型企业,南通,崇川区
渗透测试工程师,大专,1-3年,"['渗透', '渗透测试', '漏洞', '网络安全', '信息安全']",162,江苏正信信息安全测试,中型企业,南通,
网络安全 周末双休,本科,3-5年,"['安全运维和保障', '安全体系架构和研发', 'Python', 'Java', 'PHP', 'C/C++', 'MySQL', '安全架构搭建经验', '计算机/信息安全相关专业']",198,湖北科之锐教育科技,小型企业,南通,
少儿编程教师,本科,经验不限,"['机器人', '教师', 'STEAM', '信息学', '线下授课', '集体授课', 'C语言培训', 'IT培训']",90,至上培新,小型企业,南通,通州区
投资专员,硕士,经验不限,[],270,某知名原材料及加工公司,大型企业,南通,
信息化工程师,本科,3-5年,[],126,中天科技海缆,大型企业,南通,崇川区
Python老师,本科,1-3年,"['Python', 'C++', 'JavaScript', '教师', '人工智能', '机器人']",114,海安hellocode,小型企业,南通,海安市
编程老师,本科,经验不限,"['销售经验', '全职兼职均可', '坐班', '理工科教育背景', '小班教学（3-25人）', '线下教育', '学前儿童/小学生']",78,K星联盟,微型企业,南通,启东市
（华为）南通软件开发（RMB多多）,本科,经验不限,"['Python', '软件工程师', 'Java', 'C', 'C++']",360,华为,超大型企业,南通,如皋市
java、python双方向讲师,本科,3-5年,"['JavaSE培训', 'JavaScript培训', 'python']",136,中软国际教育,中大型企业,南通,如皋市
整车故障分析工程师,本科,5-10年,"['英语良好', '适应出差', 'CANoe/CANalyser']",240,MBtech,中型企业,南通,如皋市
视觉算法专家,硕士,经验不限,"['C/C++', '3D点云处理算法', '机器学习', '焊接', '深度学习', '图像处理库（OpenCV等）', '图像生成', '目标跟踪', '三维重建', 'Python', '焊缝跟踪']",540,某计算机软件公司,小型企业,南通,
青少儿编程教师,本科,经验不限,"['python', 'c++']",120,新东方,超大型企业,南通,
渗透测试工程师,大专,1-3年,"['Python', '渗透测试经验']",114,江苏越隆,微型企业,南通,
初级python工程师,本科,1-3年,"['Scrapy', 'Spark', '微服务经验', '运维开发经验', '量化交易开发经验']",30,上海宸花机械设备,微型企业,南通,启东市
少儿编程老师,本科,1-3年,['编程教育'],78,创酷培训学校,小型企业,南通,崇川区
软件开发（java、python、前端等）可零基础,本科,经验不限,"['Java', 'C', 'C++', 'Python', 'C#', '不接受居家办公']",337,杭州华为企业通信技术,大型企业,南通,
Python 算法工程师,本科,1-3年,"['Python', 'PyTorch', 'TensorFlow', 'MySQL', 'Redis', '爬虫经验', '机器学习经验']",276,智才软件,微型企业,南通,崇川区
数字信息工程师,本科,1-3年,['计算机相关专业'],150,南通瑞翔,大型企业,南通,崇川区
影像软件工程师,本科,经验不限,"['C++服务端开发经验', 'C++', 'C语言', 'Python']",102,南通爱科瑞新技术,微型企业,南通,崇川区
linux运维工程师,大专,1-3年,"['网络运维', '系统运维', 'DBA', 'Python/Shell', 'MySQL/Oracle', '计算机相关专业']",66,创玩领域,微型企业,南通,崇川区
渗透测试工程师,本科,1-3年,[],114,南通几禾,微型企业,南通,通州区
后端开发工程师,本科,1-3年,"['Java', 'Go', '数据结构', 'GIT', 'MySQL', 'Redis']",120,齐享购,小型企业,南通,崇川区
python研发工程师,本科,在校/应届,"['Python', 'PyTorch', '熟悉ComfyUI']",48,图一科技,微型企业,南通,
少儿编程老师,本科,经验不限,"['python', 'C++']",97,吉姆教育培训中心,小型企业,南通,海安市
java高级软件开发工程师,本科,1-3年,"['Java', 'JavaScript', 'MySQL', 'Java开发经验', '计算机/软件工程相关经验', '大数据处理经验', '接受居家办公', '日语']",315,南通润东,中型企业,南通,崇川区
Python,大专,3-5年,"['爬虫', '爬虫经验', '后端', '计算机相关专业', 'Python']",210,亨特网络,微型企业,南通,海门区
