职位,学历,经验,技能列表,年薪,公司,公司规模,城市,区域
大数据开发工程师,本科,1-3年,"['要求数据开发经验', '数据平台开发经验', '数据仓库开发经验', 'Java', 'Python', 'SQL', 'Spark', 'MySQL/SQL Server', 'Oracle', 'HDFS', '非外包类', 'BI报表开发经验', 'ETL开发经验', '实时数仓开发经验', '数据治理经验']",120,鹏鼎控股,超大型企业,淮安,清江浦区
后端工程师,本科,3-5年,"['Java', '大数据经验', '团队管理经验', 'SpringCloud', 'MySQL', '云计算经验', '搜索/推荐/广告经验', 'Spring', 'Python']",90,筑库网,中型企业,淮安,淮安区
编程员,学历不限,1-3年,"['C++', 'Java', 'Python']",66,江苏安润智能设备,中型企业,淮安,
【Remote Work】 Front End Developer,学历不限,3-5年,"['React', 'Angular', 'Node.js']",201,奥睿星火,小型企业,淮安,清江浦区
软件开发,本科,经验不限,"['C++', 'Java', 'C']",300,华为技术有限公司,超大型企业,淮安,清江浦区
Java开发工程师,本科,1-3年,"['Golang', 'Java', '不接受居家办公', '分布式经验', 'Hadoop', 'Kafka', 'Redis', 'Spring', '大数据经验', '接受实习/在校生投递', 'neo4j', 'Docker', '微服务经验', 'MySQL', 'Spark', 'Python']",238,科大星云,微型企业,淮安,清江浦区
高级渗透测试工程师,大专,1-3年,[],108,易云科技,中型企业,淮安,清江浦区
营销运营策划专员,大专,1-3年,"['微店/小程序', '抖音', '不接受居家办公', '大型B2B/B2C网站经验', '电商店铺运营', 'B2C', '食品饮料', '平台品类运营', '小红书', '电子商务专业', '数据分析能力']",60,誉安科技,小型企业,淮安,清江浦区
机器人老师,大专,经验不限,"['销售经验', '坐班', '小班教学（3-25人）', '线下教育', '学前儿童/小学生', '全职']",48,智多多,小型企业,淮安,盱眙县
机器人编程教师,学历不限,1-3年,"['小学教育', '线下授课', '教师资格证(小学)']",54,凤凰机器人,中型企业,淮安,淮安区
科普教育专员,大专,3-5年,"['线下教育', '坐班', '一对一教学', '小班教学（3-25人）', '学前儿童/小学生', '大型教育机构经验', '幼儿教育工作经验', '心理学专业背景', '教育学专业背景', '理工科教育背景', '全职兼职均可']",72,淮安赢领科技培训,小型企业,淮安,洪泽区
上位机软件工程师,本科,1-3年,"['Python', 'C++', 'VB', '客户端开发', '网络协议', '软件工程师']",90,北林电子技术,小型企业,淮安,清江浦区
机器人深度学习,硕士,3-5年,"['Python', 'Android', 'C/C++']",30,淮安创新伙伴机器人,微型企业,淮安,清江浦区
乐高机器人老师,大专,经验不限,"['销售经验', '乐高编程 机器人 Python C++', '坐班', '理工科教育背景', '小班教学（3-25人）', '线下教育', '课程/课件研发', '学前儿童/小学生', '全职', '幼儿教育工作经验']",60,清江浦区优贝园区...,微型企业,淮安,淮安区
强度分析工程师,硕士,3-5年,"['有机械结构工程师经验', '铁路/船舶/航空/航天经验', '复合材料强度分析']",210,云路复合材料,中型企业,淮安,
软件工程,本科,经验不限,"['Java', 'C/C++', 'Python', '计算机相关专业', '后端开发经验', '英语读写能力良好']",90,奈斯未来教育,小型企业,淮安,清江浦区
长白班智能化工程师,本科,3-5年,"['通信/工程相关专业', '系统建设/运维经验', '大数据运维经验', '英文可沟通', 'Python/Shell', '计算机/网络系统工程师']",123,鹏鼎控股,超大型企业,淮安,清江浦区
（华为）淮安软件开发/测试工程师 RMB多多,本科,经验不限,"['Python', '架构师', '软件工程师']",360,华为,超大型企业,淮安,清江浦区
科普教育专员,本科,3-5年,"['全职兼职均可', '理工科教育背景', '线下教育', '学前儿童/小学生']",42,淮安赢领科技培训,小型企业,淮安,洪泽区
机器人计算机高级视觉工程师,硕士,3-5年,['C/C++'],54,淮安创新伙伴机器人,微型企业,淮安,清江浦区
程序员,本科,经验不限,"['Java', 'C/C++', '后端开发经验', '机器人', '编程', '计算机相关专业', '英语读写能力良好', 'Python']",90,奈斯未来教育,小型企业,淮安,清江浦区
（华为） 软件开发&算法&测试开发工程师,本科,1年以内,"['Java', 'C++', 'Python', 'Spring', 'MySQL', '不接受居家办公']",288,华为技术有限公司,超大型企业,淮安,清江浦区
编程教学老师,大专,经验不限,"['程序员', '坐班', '中学生', '理工科教育背景', '熟练掌握计算机语言', '小班教学（3-25人）', '线下教育', '学前儿童/小学生', '全职']",78,奈斯未来教育,小型企业,淮安,清江浦区
算法工程师,本科,经验不限,"['Java', 'Python', 'C/C++', '计算机相关专业', '英文读写能力良好']",90,奈斯未来教育,小型企业,淮安,清江浦区
物联网,本科,经验不限,"['C++', '物联网', 'Python']",78,奈斯未来教育,小型企业,淮安,清江浦区
seo优化师,大专,1-3年,"['搜索引擎优化', 'Google', '百度', '360.0', '计算机相关专业', '数字广告策划经验', 'SEO/SEM经验（有案例）', '擅长数据分析', '新媒体平台广告投放', '搜狗', '搜索引擎营销', '熟悉HTML', '信息流推广优化经验']",90,安康生物科技集团,中大型企业,盐城,盐都区
Java软件开发工程师（AI应用方向）,学历不限,3-5年,"['Java', 'Spring', 'MySQL', 'AI应用', 'java开发', '算法', '\u200cAI模型']",150,江苏梵歌软件,小型企业,盐城,亭湖区
python编程老师,大专,1-3年,['python测试'],72,盐城智利普电子科技,微型企业,盐城,亭湖区
信息安全工程师,大专,1-3年,"['Burp Suite', '渗透测试经验', 'SQLmap', '计算机/信息安全相关专业', '攻防对抗经验', 'AWVS']",66,云天网络安全,小型企业,盐城,盐都区
软件工程师（C++/python方向）,大专,1-3年,"['C++', 'MySQL', '架构设计经验', 'Python']",186,汇鼎智联,中型企业,盐城,亭湖区
算法工程师,本科,1-3年,"['C/C++', '机器学习', '图像算法', '深度学习', '算法工程化经验', '自然语言处理算法', 'Python']",114,互动传媒,微型企业,盐城,盐都区
ai测试开发工程师,本科,3-5年,"['Golang', 'Shell', '自动化测试', 'TestNG', '性能测试', '渗透测试', '压力测试', '功能测试', 'LoadRunner', '计算机相关专业', 'Postman']",102,爱迪生信息科技,小型企业,盐城,盐都区
测试数据分析建模工程师,本科,1-3年,[],224,华为数字技术,大型企业,盐城,盐都区
web前端工程师,本科,1-3年,"['CSS', '不接受居家办公', 'Vue', 'React', '前端开发经验', '计算机/软件工程相关专业', 'Vue + element-ui', 'h5', 'Angular', 'jquery', 'Python']",126,宽泛科技,中型企业,盐城,亭湖区
高级全栈工程师,本科,1-3年,"['全栈无侧重', 'JavaScript', 'HTML', 'CSS', 'Vue', 'Python', 'MySQL/Redis/MongoDB', '计算机相关专业', '全栈项目经验', '英语读写能力良好']",150,盐城慈稞食品有限公司,小型企业,盐城,大丰区
网络安全渗透测试工程师,本科,1-3年,"['计算机相关专业', '渗透测试经验', '攻防对抗经验']",78,宿迁云天网络安全技术,小型企业,盐城,盐都区
seo主管,大专,5-10年,"['搜索引擎优化', '搜索引擎营销', '新媒体平台广告投放', 'SEO/SEM经验（有案例）', '信息流推广优化经验', '百度', '360.0', '搜狗', '百度', '360.0', '搜狗', '百度广告', '微博粉丝通', '头条系']",102,安康生物,中大型企业,盐城,盐都区
前端开发工程师,本科,3-5年,"['Vue', 'React', 'Angular']",120,江苏青农信息技术,微型企业,盐城,盐都区
Python,大专,1-3年,"['Python', 'C++', 'Nginx', 'Elasticsearch', 'PyTorch', 'MongoDB', 'HBase', 'PostgreSQL', '爬虫经验', '运维开发经验']",114,阜宁县启程网络技...,微型企业,盐城,
渗透测试工程师,大专,1-3年,"['PHP', 'Python', '内网渗透', '外网渗透', '代码审计', 'web端测试', 'Android测试', '案件']",130,诺安信息,微型企业,盐城,盐都区
IT工程师,大专,3-5年,"['Linux', '数据库运维', '系统运维', '服务器配置', 'Oracle', 'MySQL', 'OCM', 'RHCA']",108,今日信息,中型企业,盐城,盐都区
全栈技术负责人精通前后端开发经验,本科,5-10年,"['全栈侧重前端', '全栈侧重后端', 'JavaScript', 'HTML', 'CSS', 'Java', 'PHP', 'C/C++', 'Spring/Spring Boot', 'MySQL/Redis/MongoDB', '计算机相关专业', '全栈项目经验', '前端开发经验', '后端开发经验']",114,恩维智慧,小型企业,盐城,亭湖区
python高级工程师,本科,3-5年,"['PyTorch', 'MySQL', '机器学习经验', '运维开发经验', '架构设计经验', 'Python']",174,大陆智源机器人,中型企业,盐城,亭湖区
python全栈工程师,本科,3-5年,"['MySQL', 'Redis', 'Tornado', 'MongoDB', 'Python', 'Flask']",150,铬莱铂数字科技,中型企业,盐城,亭湖区
Python全栈工程师,本科,3-5年,"['Python', 'C++', 'PyTorch', 'MySQL', 'MongoDB', '运维开发经验']",300,江苏某中型医疗器械公司,中型企业,盐城,
【Remote Work】 Front End Developer,学历不限,3-5年,"['React', 'Angular', 'Node.js']",214,奥睿星火,小型企业,盐城,亭湖区
后台开发工程师,大专,经验不限,"['Java', 'Golang', 'Python', 'Spring', 'MyBatis', 'Nginx', 'MySQL', 'Redis', '不接受居家办公', '分布式经验', '微服务经验', '架构设计经验']",90,智核星,小型企业,盐城,盐都区
python高级工程师,本科,5-10年,['Python'],174,苏州大陆智源机器...,小型企业,盐城,亭湖区
python高级开发工程师,本科,3-5年,"['爬虫经验', 'PyTorch', 'MySQL', '机器学习经验', 'Redis', 'Python', 'TensorFlow']",120,江苏御霖,中型企业,盐城,盐都区
IT工程师（东台）,本科,3-5年,[],90,阿卡迪亚户外用品,小型企业,盐城,
AI应用研发工程师,本科,3-5年,"['Java', 'PyTorch', 'Python', 'TensorFlow']",120,江苏基久,大型企业,盐城,亭湖区
机器人少儿编程老师,大专,1-3年,['待遇优厚'],66,盐城泓程信息技术,微型企业,盐城,亭湖区
AI 智能交易项目负责人,本科,3-5年,"['中大型软件项目管理经验', '大数据项目管理经验', '软件研发经验', '系统集成项目管理工程师', '信息系统项目管理师']",126,海南星河云链科技,小型企业,盐城,盐都区
婚纱摄影数码师,学历不限,1-3年,"['MV', 'Combustion', '调色']",66,子晨婚纱店,微型企业,盐城,亭湖区
数据开发,本科,1-3年,"['数仓建设经验', '大数据开发经验', '要求数据开发经验', '其他数据开发经验', '数据仓库开发经验', '数据平台开发经验', '数学/统计相关专业']",78,云正数据,小型企业,盐城,盐都区
开发工程师,本科,10年以上,"['不接受居家办公', 'Java', 'Python', 'C#', 'SpringCloud', 'Docker', 'JVM', 'Oracle', 'MongoDB', '团队管理经验', '架构设计经验', '大数据经验']",234,立铠,超大型企业,盐城,
少儿编程老师,本科,3-5年,"['销售经验', '技术文档编写经验', 'C#', '团队管理经验', '少儿兴趣班', '全职工作', '线下教学', '组织NOIP竞赛', '普通话发音标准', '日常教学', '培训师', 'Python']",66,盐城市盐南高新区...,小型企业,盐城,亭湖区
数据治理工程师,大专,5-10年,"['接受无数据开发经验', '数据治理、元数据管控']",228,华东江苏大数据,小型企业,盐城,盐都区
.NET工程师,本科,3-5年,[],162,东莞领益精密制造科技,超大型企业,盐城,
运维工程师,本科,1年以内,['实施交付运维'],60,繁翰信息,小型企业,盐城,亭湖区
全栈工程师,学历不限,经验不限,['全栈项目经验'],132,红点联合文化,微型企业,盐城,
Python全栈工程师+20-26k,本科,3-5年,"['全栈侧重后端', 'JavaScript', 'HTML', 'CSS', 'TypeScript', 'Vue', 'Java', 'PHP', 'C/C++', 'Python', 'Golang']",300,江苏某中型医疗器械公司,中型企业,盐城,
java中级开发工程师,本科,3-5年,"['MES开发经验', 'Java', '不接受居家办公', 'MyBatis', 'Spring', 'Oracle']",126,上电智联,中型企业,盐城,
渗透测试工程师,本科,3-5年,"['渗透测试经验', '代码审计']",234,上海奕庚辰软件,小型企业,盐城,
Python全栈工程师,本科,3-5年,"['Python', 'Java', 'Django', 'Flask', 'MySQL', 'MongoDB', 'Redis']",270,江苏某中型医疗器械公司,中型企业,盐城,
安卓自动化,大专,1-3年,"['Java', 'Python', 'Golang', '计算机相关专业', 'iOS/Android测试经验', '自动化测试经验']",90,亭湖区大洋街道彭...,微型企业,盐城,亭湖区
资深java开发工程师,本科,1-3年,"['Java', 'Spring', 'Redis']",186,阜宁易博堂大药房,微型企业,盐城,
编程老师,学历不限,1-3年,"['线下教育', '坐班', '小班教学（3-25人）', '中学生', '学前儿童/小学生', '大型教育机构经验', '熟练掌握计算机语言', '理工科教育背景']",48,滨海圣智少儿编程,微型企业,盐城,滨海县
少儿编程教师,大专,经验不限,['计算机软件'],66,建湖县课帮帮自习...,微型企业,盐城,建湖县
小程序开发、技术,本科,3-5年,"['JavaScript', 'HTML5', 'CSS', 'Python', '计算机/软件工程相关专业', '前端开发经验', '接受居家办公', '兼职小程序研发', '工作自由', '居家办公']",78,炬鹿科技,微型企业,盐城,亭湖区
Python讲师、C++、图形化编程,大专,经验不限,"['Python教学', 'C++教学', '信息学奥赛']",54,鲸鱼编程,微型企业,盐城,滨海县
无人机组装测试,大专,1-3年,[],72,宙亿无人机,小型企业,盐城,
软件测试,本科,1-3年,"['软件测试', 'android测试', 'ios测试']",72,金坤节能,小型企业,盐城,亭湖区
贸易跟单,大专,1-3年,"['外贸跟单', '可接受出差']",54,阜宁八凌商贸有限公司,微型企业,盐城,阜宁县
教师,本科,经验不限,"['坐班', '小班教学（3-25人）', '线下教育', '学前儿童/小学生', '普通话发音标准', '全职', '幼儿教育工作经验']",78,天宫格艺术培训中心,小型企业,盐城,亭湖区
软件测试,本科,3-5年,"['功能测试', '性能测试', '自动化测试', '压力测试', 'Java', 'Python', 'MySQL', 'JMeter', 'LoadRunner', '计算机相关专业', '测试工作经验', '自动化测试经验']",66,南邮研究院,小型企业,盐城,盐都区
硬件工程师,本科,1-3年,"['芯片/半导体/集成电路', '智能硬件/可穿戴设备', '计算机相关专业', '通信相关专业', '硬件开发经验']",123,方硕智能科技,微型企业,盐城,
嵌入式软件工程师,本科,1-3年,"['C', 'C++', 'RTOS', '计算机相关专业', '通信相关专业', '嵌入式/单片机开发经验']",133,盐城中科,小型企业,盐城,
运维工程师,大专,1-3年,"['网络运维', 'Java', 'Nginx', '接受实习/在校生投递', '实施交付运维', 'MySQL/Oracle', '系统运维', '桌面运维', '计算机相关专业', '网络安全相关经验', '运维经验', '打印机/复印机维修经验']",66,博华云天,小型企业,盐城,盐都区
工业数据分析师,本科,3-5年,[],120,昆仑互联,中型企业,盐城,
大数据爬虫工程师,大专,经验不限,"['爬虫', '爬虫经验', 'Python']",390,大瑶神露,小型企业,盐城,
机器人编程老师,本科,1-3年,"['玩具', '乐高', '机器人', '教师', '小班教学（3-25人）', '线下教育', '教育培训', '学前教育', '全职', '幼儿教育工作经验', '教育学专业背景', '坐班', '早教幼教', '学前儿童/小学生', '早教']",78,拓缇教育科技,微型企业,盐城,盐都区
MES运维工程师,本科,1-3年,[],130,耀宁科技集团,大型企业,盐城,
乐高机器人老师,学历不限,经验不限,"['线下授课', '集体授课', '全职兼职均可']",78,亭湖中体星荟文体中心,中型企业,盐城,大丰区
乐高机器人老师,大专,1-3年,['教师'],66,叁艾乐,小型企业,盐城,
高级嵌入式软件工程师,本科,1-3年,"['RTOS', 'C++', 'C', '通信相关专业', '嵌入式/单片机开发经验', '计算机相关专业', '电气电气/自动化相关专业', 'Python']",208,江苏蛮酷,小型企业,盐城,
高级督导,本科,1年以内,"['定量研究', '统计学/心理学/社会学专业', '用户调研', '定性研究', '用户分析', '市场营销专业', '第三方咨询公司岗位', '市场研究', '行业研究', '可接受频繁出差', '企业调研', '市场信息收集']",78,江苏秉实,微型企业,盐城,亭湖区
erp财务实施顾问,本科,经验不限,"['ERP', '财务相关专业', '管理相关专业', '可适应出差']",78,盐城馨壹,微型企业,盐城,亭湖区
餐饮店长,学历不限,3-5年,"['加班费', '包吃', '夜班补助', '环境好', '连锁经营管理', '客诉管理', '餐厅运营', '门店运营管理']",84,盐城市大丰区俪煌...,小型企业,盐城,东台市
无人机产品经理,本科,5-10年,['无人机'],210,泉州永悦新材料,中型企业,盐城,
驻场工程师,本科,5-10年,"['有网络工程师经验', '5年以上网络工程师经验', '大型网络运维', '数据中心运维', 'CCIE/HCIE等', '甲方企业', '不需要出差']",126,北京创安光通科技发展,微型企业,盐城,亭湖区
产品软件方案工程师,本科,3-5年,[],240,天一航空,中型企业,盐城,
AI 应用与赋能经理（电商行业）,本科,1-3年,[],72,上海盛阳,中型企业,盐城,亭湖区
大数据平台运维管理,本科,1-3年,"['Ansible/Salt/Puppet', '大数据运维经验', '系统运维', 'Python/Shell', '计算机相关专业', '电子/电气/自动化相关专业']",42,盐城市绿洲环保科技,小型企业,盐城,亭湖区
乐高机器人老师,大专,1-3年,"['线下教育', '小班教学（3-25人）']",66,中体星荟,中型企业,盐城,大丰区
python老师,本科,经验不限,"['线下教育', '坐班', '小班教学（3-25人）', '学前儿童/小学生', '大型教育机构经验', '熟练掌握计算机语言', '课程/课件研发', '全职']",72,森孚机器人编程,微型企业,盐城,
机器人教师（少儿编程）,本科,经验不限,"['教师', 'STEAM']",60,芯期日创客中心,微型企业,盐城,
组件工艺数字化工程师,本科,1-3年,['C/C++'],210,阜宁协鑫,中大型企业,盐城,
网络安全驻场工程师,本科,3-5年,"['安全运维和保障', 'Burp Suite', '安全运维经验', '云计算安全运维经验', 'CISSP/CISP']",102,北京启明星辰信息...,大型企业,盐城,
财务经理/主管,大专,3-5年,"['财务综合管理', '财务分析', '税务管理', '制造业', '投融资经验', '团队搭建经验', '财务信息化经验']",78,江苏一言,小型企业,盐城,亭湖区
少儿编程老师,大专,经验不限,"['销售经验', '教育学专业背景', '坐班', '熟练掌握计算机语言', '小班教学（3-25人）', '线下教育', '学前儿童/小学生', '小学教育', '学前教育', '线下授课', '全职', '幼儿教育工作经验']",54,盐城金芒果教育科...,小型企业,盐城,亭湖区
DeepSeek指挥部成员（国企）,本科,5-10年,"['深度学习', '分布式训练', 'Python', 'C/C++', '算法工程化经验']",350,盐城市某中型广告/公关/会展公司,中大型企业,盐城,
螺杆式空压机设计技术工程师,本科,3-5年,"['AutoCAD', '整机设计经验', '有机械工程师经验']",150,东台宏博净化科技,小型企业,盐城,
少儿编程老师,大专,经验不限,"['python', '少儿编程', 'scratch', 'Python']",78,盐城智利普电子科技,微型企业,盐城,亭湖区
后端开发工程师,本科,5-10年,"['JVM', 'Java', 'Nginx', '不接受居家办公', '团队管理经验', '分布式经验', 'SpringCloud', 'Kafka', 'Redis', 'SQL Server', '大数据经验', '微服务经验', 'MySQL', 'MyBatis', 'MongoDB', '架构设计经验', 'Python']",108,爱迪生信息科技,小型企业,盐城,盐都区
网络安全工程师,大专,1-3年,"['Burp Suite', '安全运维和保障', '渗透测试经验', 'CISSP/CISP', 'SQLmap', '计算机/信息安全相关专业', 'CISA', 'ITIL', 'AWVS', '安全运维经验']",78,云天网络安全,小型企业,盐城,盐都区
seo经理,大专,3-5年,"['搜索引擎优化', 'SEO/SEM经验（有案例）', '信息流推广优化经验', '擅长数据分析', '熟悉HTML', '百度', 'Google', '360.0']",120,安康生物科技集团,中大型企业,盐城,盐都区
SEO优化师,大专,3-5年,"['搜索引擎优化', 'SEO/SEM经验（有案例）', '计算机相关专业', '市场营销/广告学相关专业', '擅长数据分析', '百度']",90,安康生物,中大型企业,盐城,盐都区
网络安全运营工程师,本科,经验不限,"['安全体系架构和研发', '安全运维和保障', 'Python', 'Burp Suite', 'Nmap', '计算机/信息安全相关专业', '安全架构搭建经验', '安全产品/平台开发经验', '安全运维经验', '数据安全管理经验', 'CISM', 'CISSP/CISP', 'CISA']",90,互动传媒,微型企业,盐城,盐都区
（华为）盐城软件开发/测试工程师 RMB多多,本科,经验不限,"['Python', '软件工程师', 'Java', 'C', 'C++']",360,华为,超大型企业,盐城,亭湖区
python全栈工程师,本科,3-5年,"['Python', 'Flask', 'Tornado', 'Django', 'MySQL', 'MongoDB', 'Redis', '架构设计经验']",162,铬莱铂数字科技,中型企业,盐城,亭湖区
网络安全渗透测试工程师,本科,经验不限,"['Python', 'C++', 'PHP', '计算机相关专业']",84,宿迁云天网络安全技术,小型企业,盐城,盐都区
高级后台开发工程师,本科,5-10年,"['Java', 'Golang', 'Nginx', 'Netty', 'Spring', 'MySQL', 'Redis']",150,智核星,小型企业,盐城,盐都区
it工程师,大专,3-5年,"['Java', 'Python', 'MySQL/Oracle']",168,立铠精密科技有限公司,超大型企业,盐城,
【Remote Work】 Front End Developer,学历不限,3-5年,"['React', 'Angular', 'Node.js']",201,奥睿星火,小型企业,盐城,亭湖区
技术合伙人,本科,1-3年,"['C++', 'C#', 'Lua']",143,阜宁县启程网络技...,微型企业,盐城,
Java开发工程师,大专,3-5年,"['后端开发', '软件工程师', 'java']",90,江苏御霖,中型企业,盐城,盐都区
b端高级产品经理,本科,3-5年,"['ERP', 'SAAS', 'ERP产品/软件产品', 'MES', '物联网产品', '其他行业']",162,上电智联,中型企业,盐城,
少儿编程老师,大专,1-3年,['相关专业'],36,吉码,微型企业,盐城,东台市
golang高级开发工程师,本科,1-3年,"['Golang', '计算机相关专业']",198,阜宁易博堂大药房,微型企业,盐城,
3d动画设计师,本科,经验不限,"['甲方公司', '五险', '周末单休', '现场办公', 'PS', '3D动画', '1-3年动画设计经验']",84,宙亿无人机,小型企业,盐城,
运维工程师,本科,1-3年,"['网络运维', '实施交付运维', '计算机相关专业', '运维经验', '网络安全相关经验']",72,博华云天,小型企业,盐城,盐都区
算法工程师,硕士,3-5年,"['深度学习', '机器学习', '大模型算法', '图像算法', '多模态算法', 'Python', 'Java']",240,昆仑互联,中型企业,盐城,
算法工程师,本科,5-10年,"['深度学习', '机器学习', '图像算法', '自然语言处理算法', '其他', 'C/C++', 'Python']",390,华东江苏大数据,小型企业,盐城,盐都区
技术专员,本科,在校/应届,"['发表算法相关优秀论文', 'C/C++', '机器学习', '运筹优化算法', '深度学习', '多模态算法', 'MATLAB', '推荐算法', 'Python']",48,盐城小绿芽科技,微型企业,盐城,
资深爬虫开发工程师,大专,1-3年,"['爬虫', '爬虫经验']",1020,大瑶神露,小型企业,盐城,
MIM产品开发工程师,大专,5-10年,"['金属材料经验', '电子/通信经验', '金属材料相关专业']",214,东莞领益精密制造科技,超大型企业,盐城,
测试工程师,本科,1-3年,"['功能测试', '性能测试', 'Python', 'C++', 'Jira', 'LabView', '通信相关专业', '测试工作经验']",162,江苏蛮酷,小型企业,盐城,
网络工程师,本科,5-10年,"['CCNP/HCIP等', 'PMP证书', '有网络工程师经验', 'CCNA/HCIA等', 'CISP/CISSP', '3到5年网络工程师经验', 'CCIE/HCIE等', '运营商']",90,爱迪生信息科技,小型企业,盐城,盐都区
渗透测试工程师,本科,经验不限,"['计算机相关专业', '渗透测试经验', '攻防对抗经验']",78,宿迁云天网络安全技术,小型企业,盐城,盐都区
【华为社招】嵌入式开发工程师,本科,1-3年,"['Python', 'C语言', '计算机相关专业']",240,华为,超大型企业,盐城,盐都区
数据挖掘,本科,1-3年,"['Python', '计算机相关专业', '数学/统计相关专业', '机器学习经验']",252,立铠,超大型企业,盐城,
SEO主管-生物健康医疗-薪资高,大专,5-10年,"['搜索引擎优化', '搜索引擎营销', 'SEO/SEM经验（有案例）', '百度', '360.0', '百度', '360.0']",186,安康生物科技集团,中大型企业,盐城,盐都区
高级java开发工程师,本科,3-5年,"['MES开发经验', 'MySQL', 'SpringCloud']",123,上电智联,中型企业,盐城,
数据分析（品质）,本科,5-10年,"['数学/统计相关专业', '品质', '质量', '归类分析']",210,东莞领益精密制造科技,超大型企业,盐城,
AI算法工程师（AIGC方向）,本科,3-5年,"['大模型算法', '机器学习', '深度学习', 'SLAM算法', '规控算法', '图像算法', 'C/C++']",168,铬莱铂数字科技,中型企业,盐城,亭湖区
高级桌面运维工程师,本科,3-5年,"['网络运维', 'MySQL/Oracle', 'Docker', '系统运维', 'Python/Shell']",96,爱迪生信息科技,小型企业,盐城,盐都区
【华为德科软件测试工程师】软件测试,本科,经验不限,"['自动化测试', '性能测试', '功能测试']",294,华为技术有限公司,超大型企业,盐城,亭湖区
数据科学家,本科,1-3年,"['深度学习', '大模型算法', '其他', '自然语言处理算法', '数据挖掘', '运筹优化', 'Python', '算法工程化经验']",252,立铠,超大型企业,盐城,
Java高级开发工程师,本科,3-5年,"['PHP', 'Python', '微服务架构', '负载均衡技术', '分布式技术', '数据结构', '后端开发', 'Spring']",138,上电智联,中型企业,盐城,
ai工程师,本科,3-5年,"['机器学习', '图像算法', '运筹优化算法', 'SLAM算法', 'C/C++', '大数据处理框架(Spark/Hadoop/Hive)', 'Python', '算法工程化经验', '参加算法相关竞赛/获奖', '优秀开源项目经历']",264,立铠,超大型企业,盐城,
通信软件开发工程师,本科,经验不限,"['C++', 'C语言']",192,华为,超大型企业,盐城,亭湖区
devops工程师,本科,3-5年,"['Jenkins', 'Zabbix/Prometheus', 'Kubernetes']",162,立铠,超大型企业,盐城,
Python,本科,1年以内,[],114,扬州幻维智能科技,微型企业,扬州,邗江区
汽车产品开发工程师,学历不限,5-10年,[],102,布诺,微型企业,扬州,广陵区
python,本科,3-5年,"['Python', 'MySQL', '分布式经验']",240,扬州市某中型半导体公司,中型企业,扬州,
AI模型开发工程师  Python,本科,1-3年,"['Python', 'C++', 'TensorFlow', 'PyTorch', 'MySQL', 'PostgreSQL', '分布式经验', '深度学习算法模型数据']",90,铄云科技有限公司,微型企业,扬州,邗江区
软件开发（java、python、前端等）可零基础,本科,经验不限,"['Java', 'C', 'C++', 'Python', 'C#', '不接受居家办公']",337,杭州华为企业通信技术,大型企业,扬州,邗江区
信息技术部经理,大专,5-10年,"['Java', 'Python', 'IT技术支持经验', 'ERP/OA/CRM支持经验', '大数据运维经验', '电商']",360,扬州某中型新零售公司,小型企业,扬州,
资深机械工程师（3D建模）,本科,3-5年,"['有机械工程师经验', '化工经验', '自动化机械经验', '机电设备经验', '电子/通信经验', '仪器仪表经验', '非标设计经验', '整机设计经验', '仿真设计经验', 'SolidWorks', 'AutoCAD', 'UG', 'Pro/E', 'ANSYS', 'C#', 'python', 'c++', 'Plant3d', '化工工艺']",252,某小型跨行业专业服务公司,小型企业,扬州,
python爬虫,大专,经验不限,"['毛绒玩具', '产品开发']",120,嘟啦啦工艺品,小型企业,扬州,邗江区
人工智能算法工程师,本科,3-5年,"['语音算法', 'Java', '对话系统', '深度学习', '大模型算法', '多模态算法', '算法工程化经验', '文本生成', '优秀开源项目经历', '情感分析', 'C/C++', '强化学习', 'Python', '模型加速/性能优化']",138,扬州科曼德智能科技,微型企业,扬州,邗江区
Python讲师,本科,经验不限,"['Python', 'C++', 'Java', 'C语言', '物联网', '计算机软件', '人工智能']",78,博佳乐高培训中心,小型企业,扬州,广陵区
BSP软件工程师,本科,1-3年,['C'],138,扬州航盛科技,大型企业,扬州,
信息技术部经理(J10104),大专,5-10年,"['互联网/AI', '数据库', '数据看板']",300,乐博,中型企业,扬州,广陵区
人工智能工程师,本科,经验不限,"['深度学习', '机器学习', '大模型算法', '强化学习', '图像算法', '自然语言处理算法', '模型加速/性能优化', '其他', 'Python', 'Java', '嵌入式开发', '分布式训练', '其他', '算法工程化经验', '发表算法相关优秀论文', '参加算法相关竞赛/获奖', '团队管理经验', '优秀开源项目经历', '接受实习/在校生投递']",136,扬州大自然,中型企业,扬州,邗江区
Python,大专,经验不限,"['教师', '小学教育', '初中教育', '集体授课', '全职', '培训机构']",102,乾宸,中大型企业,扬州,江都区
人工智能,学历不限,经验不限,['C/C++'],300,某大型铁路公司,中型企业,扬州,
大气环境数据审核专员,大专,在校/应届,"['环境相关专业', '其他优势技能', '不需长期出差', '接受无环保工程师经验', '双休', '五险一金']",65,扬州云舟环境技术,微型企业,扬州,邗江区
PHP,学历不限,3-5年,"['PHP', '计算机相关专业']",110,扬州网景科技有限公司,微型企业,扬州,邗江区
Game AI算法工程师,硕士,在校/应届,"['语音算法', 'Java', '搜索算法', '图像算法', '大模型算法', '自然语言处理算法', 'MATLAB', '嵌入式开发', 'C/C++', '机器学习', '强化学习', '模型加速/性能优化', 'Python']",246,某大型航空公司,中型企业,扬州,
